Stock,Feature Group,MAE,MSE,RMSE,Adjusted_R2,CRPS,QL_0.1,QL_0.5,QL_0.9,Num Features
ABB_ABBNY,Baseline (Target Only),0.006355086504146706,4.3529033360270244e-05,0.006597653625363357,-0.6617671201259094,0.003564355421844874,0.0014074990952609317,0.003177543252073353,0.0011483029552045482,0
ABB_ABBNY,Technicals,0.004929039603695524,2.6375390387476104e-05,0.005135697653432891,-1.0138171304487082,0.0026750472312910287,0.0007272460211676147,0.002464519801847762,0.0010313324533644335,2
ABB_ABBNY,Macro,0.006462381570264947,4.352952079816917e-05,0.006597690565506173,,0.003589484792236243,0.0012819857018290298,0.0032311907851324735,0.0012293447084966319,4
ABB_ABBNY,Peers,0.005820146551952016,3.556124900348625e-05,0.005963325331011737,,0.003161413598839199,0.0009412882531283636,0.002910073275976008,0.0011420991920176164,4
Alcon_0A0D.LON,Baseline (Target Only),0.001914182572118796,6.076082360068261e-06,0.0024649710667811625,-0.9853514575962938,0.0013116448322146564,0.0006556193855457848,0.000957091286059398,0.0007093101228720595,0
Alcon_0A0D.LON,Technicals,0.002473253336601801,8.378622426083287e-06,0.0028945850179401,-4.475406441359222,0.001464340533635357,0.000686181574022109,0.0012366266683009005,0.0005014164234644822,2
Alcon_0A0D.LON,Macro,0.0015955974221749675,4.35046886292361e-06,0.002085777759715452,,0.0012144922042101054,0.0006213873763435431,0.0007977987110874838,0.0008192457120067527,4
Alcon_0A0D.LON,Peers,0.0016334957317037952,4.815642355776e-06,0.0021944571893240477,,0.0012855141335933833,0.0006160202761047431,0.0008167478658518976,0.0009642693261749198,4
Amrize_AMRZ,Baseline (Target Only),0.0039008508508022234,1.7782533735018615e-05,0.004216934162993135,-4.407706040557927,0.002163845020417992,0.0009906814347666066,0.0019504254254011117,0.0005180802654761511,0
Amrize_AMRZ,Technicals,0.0030442352478320996,1.1584034416045737e-05,0.003403532637723008,-6.045458630264859,0.0019078943832562605,0.0010883616942625803,0.0015221176239160498,0.0006371390160459716,2
Amrize_AMRZ,Macro,0.002679759736817638,9.078126791789731e-06,0.003012992995642328,,0.0018421783922956626,0.0011938512425583166,0.001339879868408819,0.0007318350013632018,4
Amrize_AMRZ,Peers,0.0039008508508022234,1.7782533735018615e-05,0.004216934162993135,-4.407706040557927,0.002163845020417992,0.0009906814347666066,0.0019504254254011117,0.0005180802654761511,0
