date,open,high,low,close,volume
2019-04-17,57.5217,57.5217,57.5217,57.5217,11163
2019-04-18,55.9229,55.9229,55.9229,55.9229,71272
2019-06-20,57.0109,57.0109,57.0109,57.0109,1571
2019-06-26,57.8477,57.9634,57.8477,57.9634,4168
2019-06-27,58.6230,58.6230,58.6230,58.6230,3402
2019-06-28,59.9720,60.0920,59.9720,60.0920,6450
2019-08-21,59.8186,59.8186,59.8186,59.8186,143540
2019-08-27,57.1565,57.1565,57.1565,57.1565,12488
2019-09-17,59.0794,59.0794,59.0794,59.0794,80136
2019-09-23,58.9871,58.9871,58.9871,58.9871,100041
2019-10-24,57.7858,57.7906,57.7747,57.7906,324914
2019-11-05,58.4868,58.4868,58.2043,58.2043,316926
2019-11-06,58.2408,58.2408,58.2408,58.2408,214025
2019-11-07,58.4237,58.4237,58.3489,58.3489,483062
2019-11-08,58.1044,58.1044,58.1044,58.1044,164839
2019-11-11,58.0995,58.0995,57.9679,57.9803,162785
2020-01-23,60.2420,60.2420,60.2420,60.2420,84
2020-02-06,59.0309,59.0309,59.0309,59.0309,188096
2020-02-10,59.6782,59.6782,59.6782,59.6782,90
2020-03-11,51.4859,51.5116,51.4859,51.5116,27918
2020-03-16,43.2202,43.2202,43.2202,43.2202,457
2020-04-01,48.6987,48.6987,48.6987,48.6987,341
2020-04-02,47.9345,47.9345,47.5220,47.5220,54586
2020-04-03,48.3130,48.3130,48.3130,48.3130,195
2020-04-16,48.9721,48.9721,48.9721,48.9721,1517
2020-04-17,50.3019,50.3019,49.6086,49.6086,43786
2020-04-22,50.3742,50.3742,50.3742,50.3742,509540
2020-04-23,51.8410,51.8410,51.8410,51.8410,230709
2020-04-29,51.7442,51.7442,51.7442,51.7442,250
2020-04-30,51.4715,51.4715,51.4715,51.4715,181443
2020-05-06,50.1540,50.1540,50.1540,50.1540,926172
2020-05-22,59.9229,59.9229,59.9229,59.9229,91
2020-05-27,58.4104,58.4201,58.4104,58.4201,214
2020-06-03,61.4173,61.4173,61.4173,61.4173,354
2020-06-12,55.6481,55.6481,55.6481,55.6481,58
2020-06-24,55.4141,55.4141,55.4141,55.4141,25
2020-07-29,55.0986,55.0986,55.0986,55.0986,81
2020-08-20,53.6385,53.6385,53.6385,53.6385,76475
2020-09-15,52.4341,52.4341,52.1527,52.1527,4031
2020-09-16,52.8485,52.8485,52.8485,52.8485,3000
2020-09-17,52.8169,53.9960,52.8169,53.9869,3800
2020-09-18,53.9816,54.2181,53.9634,54.1999,3036
2020-09-22,52.9971,52.9971,52.9971,52.9971,400
2020-09-25,52.1494,52.1494,52.0054,52.0054,1040
2020-09-28,53.0426,53.0658,53.0056,53.0056,409
2020-09-30,52.3504,52.3688,52.3228,52.3228,513
2020-10-01,53.3137,53.3137,52.8741,52.8741,9800
2020-10-02,52.1548,52.3050,52.1548,52.3050,4458
2020-10-05,52.9270,52.9270,52.7440,52.7440,2602
2020-10-06,53.0224,53.0361,52.9630,53.0361,2954
2020-10-07,52.8542,52.8725,52.8542,52.8725,2023
2020-12-14,57.4989,57.4989,57.4989,57.4989,1568
2021-01-11,60.1796,60.1796,60.1796,60.1796,88
2021-01-20,65.6713,65.6713,65.5244,65.5244,35412
2021-01-21,65.1748,65.1748,65.1748,65.1748,187
2021-01-22,65.6487,65.6487,65.6026,65.6026,89995
2021-01-27,65.6140,65.6140,65.6140,65.6140,9887
2021-02-01,65.3450,65.3450,65.3450,65.3450,166026
2021-02-16,66.4500,66.6400,65.9400,65.9400,144841
2021-02-17,65.8000,65.8000,64.8200,65.3400,111478
2021-02-18,64.5250,65.0000,64.1000,64.4200,82227
2021-02-19,64.5200,64.5200,64.2400,64.5083,79250
2021-02-22,64.2500,64.8000,63.8200,64.3200,458174
2021-02-23,64.2400,65.0000,64.2400,64.5500,232234
2021-02-24,64.1500,64.1500,62.8789,62.9184,681410
2021-02-25,63.5250,65.0000,63.5200,63.8000,160331
2021-02-26,62.5200,63.6800,62.5200,62.5400,140921
2021-03-01,63.6000,64.3200,63.6000,63.9200,166385
2021-03-02,64.5750,64.7400,64.5200,64.6400,51158
2021-03-03,64.7600,64.7600,63.0400,64.3000,77779
2021-03-04,63.5000,63.5000,62.5800,62.8000,135330
2021-03-05,62.8250,63.1000,62.3800,62.8200,33284
2021-03-08,63.4512,63.4512,62.8200,63.4512,35990
2021-03-09,62.9400,64.5200,62.9400,64.3400,82719
2021-03-10,63.7200,64.3800,63.7200,63.7400,68175
2021-03-11,64.1000,64.6200,64.1000,64.3000,91040
2021-03-12,64.5200,64.5200,63.7200,63.7200,91348
2021-03-15,63.7600,63.7600,63.5200,63.7600,133236
2021-03-16,64.5800,64.5800,63.7600,63.8800,86370
2021-03-17,63.9400,63.9400,63.5600,63.7257,49279
2021-03-18,63.3300,63.9400,63.3300,63.5983,53458
2021-03-19,63.6800,63.6800,63.3800,63.6400,185759
2021-03-22,63.1200,63.8000,63.1200,63.1403,79597
2021-03-23,64.5250,64.8200,64.1300,64.6800,293345
2021-03-24,64.4400,65.9000,64.4400,64.8409,657310
2021-03-25,64.7200,65.6000,64.7200,65.4400,120273
2021-03-26,66.1400,66.1400,64.8400,65.2200,63601
2021-03-29,65.7800,65.7800,65.0200,65.0600,35839
2021-03-30,66.0000,66.7600,65.9600,66.6000,133014
2021-03-31,66.7400,66.7400,66.1800,66.5736,42501
2021-04-01,66.7500,67.4800,66.7000,67.0279,33774
2021-04-06,66.7000,66.7000,66.2800,66.7000,386819
2021-04-07,66.2600,66.6600,66.2600,66.5219,57552
2021-04-08,66.7500,67.3000,66.1600,67.3000,55843
2021-04-09,67.7000,67.7000,67.1400,67.6000,78727
2021-04-12,67.8010,68.3400,67.8010,68.3200,277617
2021-04-13,68.2500,68.3600,67.3400,67.4067,75091
2021-04-14,67.8200,67.8200,67.4545,67.5000,67311
2021-04-15,68.2600,68.2600,67.6800,68.0770,49227
2021-04-16,68.4573,68.4573,67.7800,67.9800,35543
2021-04-19,67.5493,68.2000,67.5493,67.5600,88749
2021-04-20,67.8300,67.8300,67.3000,67.4400,91302
2021-04-21,68.2500,69.0600,68.1600,69.0600,21598
2021-04-22,69.4200,69.4200,68.9000,69.2600,19562
2021-04-23,69.2500,69.5000,68.8000,69.3800,100096
2021-04-26,69.5844,69.5844,69.0400,69.5844,165669
2021-04-27,69.7200,69.7200,69.1000,69.1800,44114
2021-04-28,69.0400,69.5800,69.0400,69.3870,37851
2021-04-29,70.0000,70.1200,68.9545,69.3512,57153
2021-04-30,68.9021,68.9021,68.1800,68.5000,518686
2021-05-04,68.2500,69.1000,67.6898,67.6898,103352
2021-05-05,67.3600,67.3600,63.5334,63.8214,425561
2021-05-06,64.3200,64.3200,62.5200,62.5294,1670945
2021-05-07,64.0000,64.4400,62.4000,62.7396,314423
2021-05-10,63.0000,63.2000,61.6400,62.2501,370797
2021-05-11,61.7000,61.7000,60.8000,61.6923,265832
2021-05-12,61.7538,61.7538,60.8600,60.9200,124827
2021-05-14,60.5000,62.0400,60.2521,60.2521,107541
2021-05-17,62.0000,62.1400,61.5218,62.0693,91557
2021-05-18,61.6400,62.3800,61.6400,61.8493,73131
2021-05-19,61.2800,61.2800,60.6600,60.9988,146910
2021-05-20,62.1600,62.1600,61.3200,61.7600,63454
2021-05-21,61.5000,62.4400,61.4400,62.3902,46751
2021-05-25,61.5000,62.0400,61.5000,61.6462,86570
2021-05-26,61.7800,62.8200,61.7800,62.6400,208112
2021-05-27,62.6000,62.6000,61.6400,61.6400,681843
2021-05-28,62.0000,62.9800,61.8600,62.8494,100040
2021-06-01,63.8400,63.8400,62.9400,63.3800,55653
2021-06-02,63.0000,63.2000,62.9000,62.9200,29374
2021-06-03,62.0000,62.9000,62.0000,62.4400,183951
2021-06-04,62.5200,63.3400,62.5200,63.1832,226363
2021-06-07,63.1200,63.1200,62.7600,62.9567,20168
2021-06-08,62.6600,62.6600,62.2400,62.2400,239254
2021-06-09,62.5800,62.5800,62.3200,62.4200,60106
2021-06-10,62.5000,62.8200,61.9000,62.4600,39121
2021-06-11,62.9800,63.5200,62.9800,63.3487,131505
