date,open,high,low,close,volume
2014-03-10,14.2975,14.3000,14.2975,14.3000,1150
2014-03-13,13.9525,13.9525,13.9525,13.9525,1550
2014-03-14,13.8475,13.8475,13.7500,13.7975,3459
2014-04-07,13.3062,13.3062,13.3062,13.3062,50000
2014-04-14,12.2500,12.2500,12.0000,12.0000,165
2014-04-25,12.2500,12.2500,12.0000,12.0000,2773
2014-06-10,12.0000,12.0000,12.0000,12.0000,2503
2014-06-17,12.0000,12.0000,12.0000,12.0000,2000
2014-06-19,12.0000,12.0000,12.0000,12.0000,1252
2014-06-24,11.7500,11.7500,11.7500,11.7500,2000
2014-06-30,11.5017,11.5017,11.5017,11.5017,8877
2014-07-03,11.7025,11.7025,11.7025,11.7025,400
2014-07-08,11.3925,11.3935,11.3925,11.3935,69216
2014-08-05,12.9703,12.9703,12.9703,12.9703,21713
2014-08-07,12.8864,12.8864,12.8864,12.8864,40819
2014-08-08,12.7333,12.7333,12.7333,12.7333,56744
2014-09-15,12.5000,12.5000,12.5000,12.5000,1000
2014-09-29,12.1525,12.2500,12.1525,12.2500,174750
2014-09-30,12.1781,12.1781,12.1781,12.1781,750
2014-10-03,12.0000,12.0500,12.0000,12.0000,370000
2014-10-06,12.2250,12.2500,12.2250,12.2500,71252
2014-11-03,13.5000,13.5000,13.5000,13.5000,25
2014-11-06,13.5750,13.5750,13.5750,13.5750,45000
2014-11-12,13.5000,13.5000,13.5000,13.5000,900
2014-11-19,13.6000,13.6000,13.6000,13.6000,64955
2014-11-25,14.0000,14.0000,14.0000,14.0000,218
2014-12-02,14.4475,14.6025,14.4475,14.6025,2261
2014-12-09,14.2500,14.2500,14.2500,14.2500,100
2014-12-15,13.2500,13.2500,13.2500,13.2500,102
2015-01-06,13.5000,13.5000,13.5000,13.5000,177
2015-01-14,13.6500,13.6500,13.6500,13.6500,66705
2015-01-30,13.6525,13.6525,13.6525,13.6525,500
2015-02-03,13.3250,13.3500,13.3250,13.3500,216146
2015-02-05,13.3500,13.3500,13.3500,13.3500,246119
2015-02-13,13.7525,13.7525,13.7525,13.7525,380
2015-02-17,13.7000,13.7000,13.6750,13.6750,120339
2015-02-25,14.0000,14.0000,14.0000,14.0000,40000
2015-02-26,14.2500,14.2500,14.2500,14.2500,250
2015-03-19,12.4975,12.4975,12.4975,12.4975,210
2015-05-07,13.9088,13.9500,13.9088,13.9500,50597
2015-05-08,14.2500,14.2500,14.2500,14.2500,200
2015-05-11,14.0000,14.0000,14.0000,14.0000,1600
2015-05-27,14.4500,14.4500,14.4500,14.4500,116000
2015-06-01,15.2500,15.2500,15.2500,15.2500,375
2015-06-02,15.0000,15.0000,15.0000,15.0000,560
2015-06-08,14.5500,14.5500,14.5500,14.5500,100000
2015-07-15,13.7254,13.7254,13.7254,13.7254,80000
2015-07-21,13.4500,13.4500,13.4500,13.4500,100000
2015-07-31,13.8046,13.8046,13.8046,13.8046,597
2015-08-10,13.9183,13.9183,13.9183,13.9183,66778
2015-08-26,12.3525,12.3525,12.3525,12.3525,1000
2015-08-27,12.7525,12.7525,12.7525,12.7525,500
2015-09-01,12.7025,12.7025,12.7025,12.7025,1274
2015-09-08,13.2525,13.2525,13.2525,13.2525,100
2015-09-09,13.5025,13.5025,13.5025,13.5025,500
2015-09-14,13.8525,13.8525,13.8525,13.8525,400
2015-09-17,13.9050,13.9050,13.9000,13.9000,150000
2015-10-05,12.8000,12.8000,12.8000,12.8000,300000
2015-10-12,13.2500,13.2500,13.2500,13.2500,4550
2015-10-13,13.0000,13.0000,13.0000,13.0000,5
2015-10-15,13.4025,13.4025,13.4025,13.4025,600
2015-10-28,14.6025,14.6025,14.6025,14.6025,1000
2015-11-20,15.4250,15.4250,15.3250,15.3250,118754
2015-12-08,15.3750,15.3750,15.3250,15.3250,230000
2015-12-15,14.7000,14.7000,14.7000,14.7000,21227
2015-12-16,14.5760,14.5760,14.5760,14.5760,1540
2016-01-21,14.7875,14.7875,14.7875,14.7875,12000
2016-02-03,14.8376,15.0525,14.8376,14.8376,19650
2016-03-30,15.2809,15.2809,15.2809,15.2809,950
2016-04-11,15.5000,15.5000,15.5000,15.5000,75000
2016-04-12,15.4000,15.4000,15.4000,15.4000,15000
2016-04-18,15.6969,15.6969,15.6969,15.6969,44484
2016-05-26,15.1802,15.1802,15.1802,15.1802,19000
2016-06-13,14.6500,14.6500,14.6500,14.6500,75000
2016-06-14,14.5500,14.5500,14.5500,14.5500,39862
2016-06-15,15.4354,15.4354,15.4354,15.4354,16583
2016-06-16,15.2296,15.2296,15.2296,15.2296,681
2016-06-29,15.4597,15.4647,15.2693,15.4530,89529
2016-07-01,15.8107,15.8107,15.8107,15.8107,54502
2016-07-11,15.7900,15.7900,15.7900,15.7900,41088
2016-07-27,17.2224,17.2224,17.2224,17.2224,8270
2016-07-28,19.1122,19.5000,19.1122,19.5000,175000
2016-08-10,20.4250,20.4250,20.4250,20.4250,842
2016-08-24,21.1042,21.1042,21.1042,21.1042,1381
2016-09-06,21.0526,21.0526,21.0526,21.0526,76
2016-10-12,22.5000,22.5000,22.5000,22.5000,2
2016-10-21,21.2500,21.2500,21.2500,21.2500,45
2016-10-26,24.9500,24.9500,24.9500,24.9500,880
2016-10-27,24.0000,24.0075,23.9500,24.0075,930512
2016-11-07,24.5000,24.5000,24.5000,24.5000,50
2016-11-08,24.2525,24.2525,24.2525,24.2525,300
2016-11-10,24.2500,24.2500,23.9391,23.9391,20192
2016-11-17,25.1000,25.1000,25.1000,25.1000,587
2016-11-18,25.3025,25.3025,25.3025,25.3025,310
2016-11-29,24.7535,24.7535,24.7535,24.7535,5616
2016-11-30,24.9945,24.9945,24.9945,24.9945,1148
2016-12-01,24.5727,24.5727,24.5727,24.5727,2034
2016-12-07,24.2500,24.2500,24.2500,24.2500,200
2016-12-08,24.5804,24.5804,24.5804,24.5804,15416
2016-12-19,25.1702,25.1702,25.1702,25.1702,5897
2017-01-06,25.6089,25.6089,25.6089,25.6089,11909
2017-01-09,25.5000,25.5000,25.5000,25.5000,190
2017-01-10,25.6856,25.6856,25.6856,25.6856,105
2017-01-11,25.9550,25.9550,25.9550,25.9550,150
2017-01-16,25.8893,25.8893,25.8893,25.8893,1603
2017-01-20,25.4025,25.4025,25.4025,25.4025,500
2017-01-24,25.0729,25.0729,25.0729,25.0729,1523
2017-01-25,28.5000,28.5000,28.5000,28.5000,57
2017-02-01,28.4537,28.4537,28.4537,28.4537,2358
2017-02-03,28.8975,28.8975,28.8975,28.8975,400
2017-02-06,28.4525,28.4525,28.4525,28.4525,870
2017-02-08,28.8345,28.8345,28.8345,28.8345,94
2017-02-10,29.5000,29.5150,29.5000,29.5150,222
2017-02-13,29.5210,29.5210,29.5210,29.5210,26
2017-02-17,29.2500,29.2500,29.2500,29.2500,265
2017-02-20,29.2500,29.3059,29.2500,29.3059,57
2017-02-27,29.2097,29.2097,29.2097,29.2097,9404
2017-03-02,29.0000,29.0000,29.0000,29.0000,400
2017-03-03,29.2500,29.2500,29.2500,29.2500,18
2017-03-07,29.7525,29.7525,29.5253,29.5253,14451
2017-03-09,29.8975,29.8975,29.8975,29.8975,20
2017-03-13,30.2500,30.2500,30.2500,30.2500,50
2017-03-21,31.3808,31.3808,31.3808,31.3808,14302
2017-03-23,31.2500,31.2500,31.2500,31.2500,27
2017-03-31,31.7500,31.7500,31.7500,31.7500,70
2017-04-03,31.7500,31.7500,31.7500,31.7500,97
2017-04-04,31.7500,31.7500,31.5525,31.5525,138
2017-04-05,31.7025,31.8025,31.7025,31.8025,670
2017-04-20,31.0000,31.0000,31.0000,31.0000,191
2017-04-24,30.7500,30.7500,30.7500,30.7500,140
2017-04-26,34.5000,34.5000,34.2500,34.2500,79
2017-04-27,32.7500,32.7566,32.5000,32.7566,108
2017-05-03,34.0000,34.0000,34.0000,34.0000,100
2017-05-04,33.5550,33.8250,33.5550,33.8000,600000
2017-05-05,33.5000,33.8000,33.5000,33.8000,1573923
2017-05-08,34.0353,34.3000,34.0353,34.3000,527516
2017-05-09,34.7525,34.7525,34.7525,34.7525,67
2017-05-10,34.7500,35.0000,34.7500,35.0000,12865
2017-05-11,34.6500,34.8570,34.6500,34.8570,12598
2017-05-15,35.4000,35.4000,35.4000,35.4000,13475
2017-05-19,34.2500,34.2500,34.2500,34.2500,367
2017-05-23,34.5000,34.5000,34.3819,34.3819,218
2017-05-24,34.7664,34.7664,34.7664,34.7664,3
2017-05-26,35.7547,36.0000,35.7547,35.7547,1051
2017-05-30,35.7572,35.7572,35.7572,35.7572,1
2017-05-31,35.7500,36.0000,35.7500,36.0000,50
2017-06-02,36.2256,36.2256,36.2256,36.2256,45
2017-06-07,36.4647,36.4647,36.4647,36.4647,47
2017-06-08,36.7500,36.8074,36.7500,36.8074,373
2017-06-09,37.0000,37.0500,37.0000,37.0500,730
2017-06-12,35.5000,35.5000,34.7500,34.7500,1125
2017-06-13,35.0000,35.0000,35.0000,35.0000,690
2017-08-29,33.0500,33.2500,32.8750,32.9420,121105
2017-08-30,33.4000,33.6563,33.3500,33.5288,35443
2017-08-31,33.9000,34.1500,33.8500,34.0590,18081
2017-09-01,34.0500,34.1500,33.8000,33.9042,19162
2017-09-04,33.7000,33.9500,33.4500,33.8463,113892
2017-09-05,33.8000,33.9000,33.5000,33.5875,48165
2017-09-06,33.4500,33.6000,33.3030,33.4502,40752
2017-09-07,33.5000,34.1500,33.5000,34.0500,137346
2017-09-08,33.9000,34.0000,33.7500,33.8500,16510
2017-09-11,34.3513,35.2500,34.3513,35.1042,107144
2017-09-12,35.3000,35.8184,35.2000,35.4545,71453
2017-09-13,35.4500,35.8000,35.2500,35.6100,92822
2017-09-14,35.7500,35.9563,35.7250,35.8930,35452
2017-09-15,35.5500,35.7500,35.3563,35.5736,777650
2017-09-18,36.0000,36.1363,35.6350,35.8885,51803
2017-09-19,36.1005,36.6800,36.1005,36.6800,120527
2017-09-20,36.5000,36.7500,36.2200,36.4198,93095
2017-09-21,36.0000,36.2892,35.7900,35.9039,44432
2017-09-22,35.9000,36.2892,35.5300,35.7899,371775
2017-09-25,35.7400,35.7500,35.0727,35.5064,20756
2017-09-26,34.9400,35.0600,34.8300,34.9684,124468
2017-09-27,34.5000,35.2400,34.5000,35.1824,632403
2017-09-28,34.9000,35.4042,34.9000,35.3900,396393
2017-09-29,35.3400,35.4700,35.0200,35.1518,42102
2017-10-02,35.4683,35.4740,35.0800,35.4039,579551
2017-10-03,35.3600,35.6008,35.3000,35.3300,505336
2017-10-04,35.1700,35.4308,35.1700,35.3417,268552
2017-10-05,35.3200,35.7438,34.9700,35.0739,278353
2017-10-06,34.9500,35.0500,34.6700,34.7838,127517
2017-10-09,34.8100,35.1240,34.8073,34.8976,187320
2017-10-10,35.3300,35.7500,34.9700,35.6100,88757
2017-10-11,35.1100,35.2454,35.1100,35.1881,67080
2017-10-12,34.9470,35.3341,34.9470,34.9664,45640
2017-10-13,35.4700,35.5400,35.0457,35.4204,228013
2017-10-16,35.5314,35.5938,35.5000,35.5561,32387
2017-10-17,35.6700,36.2800,35.6700,35.9553,48797
2017-10-18,35.7400,36.2800,35.7300,36.2412,33622
