date,open,high,low,close,volume
2006-02-28,104.4227,104.4227,103.2282,103.2282,63
2006-03-01,106.4877,106.5336,105.2468,105.2468,828
2006-03-06,103.4893,103.9215,103.4893,103.9215,175
2006-03-08,99.8469,101.4600,99.8469,101.4600,82
2006-03-09,101.6340,102.3868,101.6340,102.3868,12
2006-03-16,105.0326,105.0326,103.1951,103.1951,77
2006-04-25,105.8594,105.8594,104.8156,104.8156,1249
2006-05-04,102.0872,103.5878,102.0871,103.5878,15
2006-05-09,107.5890,108.5682,107.5890,108.5682,19
2006-05-16,99.8541,99.8541,98.1678,98.1678,52
2006-06-21,88.6291,88.9480,88.6291,88.9480,15
2006-07-06,94.1830,94.1830,92.6913,92.6913,688
2006-07-14,90.9495,90.9495,89.7018,89.7018,9
2006-08-22,101.2618,101.2618,99.1658,99.1658,28
2006-08-30,99.1162,99.1162,98.6010,98.6010,31
2006-09-11,98.2380,99.3280,98.2380,99.3280,80
2006-09-18,100.9790,101.0732,99.6627,101.0732,40
2006-10-02,102.8918,102.8918,101.7445,101.7445,23
2006-10-25,107.1740,107.8154,107.1740,107.8154,23
2006-10-26,108.4489,108.4489,106.7877,106.7877,14
2006-11-29,106.9776,107.5198,106.9776,107.5198,11
2006-12-05,107.5143,108.5252,107.5143,108.5252,98
2006-12-15,111.1258,111.8885,111.1258,111.8885,109
2006-12-19,112.5073,112.5073,111.9819,111.9819,48
2007-01-09,118.9772,119.2661,117.1467,117.1467,836
2007-01-12,118.6651,118.6651,117.4430,117.4430,9
2007-01-15,117.3403,117.7820,117.3403,117.7820,69
2007-01-24,121.1839,121.3065,121.1839,121.3065,11
2007-01-25,121.8728,121.8728,121.2839,121.2839,22
2007-01-30,122.6638,122.6638,121.5335,122.5410,130
2007-01-31,124.0030,124.0030,123.6610,123.6610,11
2007-02-06,126.8218,126.8218,126.1359,126.1359,10
2007-02-07,125.9326,126.8119,125.9326,126.8119,349
2007-02-14,125.8029,125.8029,125.4866,125.4866,11
2007-02-16,124.1972,124.9201,124.1972,124.9201,1714
2007-02-20,127.6258,127.6258,125.9815,125.9815,22
2007-02-26,127.7349,127.7349,126.7923,126.7923,22
2007-03-01,118.5196,121.0811,118.2802,121.0811,1129
2007-03-12,121.8208,122.6007,121.8208,122.6007,69
2007-03-16,118.3238,118.3238,118.1597,118.1597,34
2007-03-20,121.5097,121.5097,118.8718,118.8718,69
2007-03-21,121.1985,121.7700,121.1985,121.7700,189
2007-04-17,126.9426,129.2957,126.9426,129.2957,57
2007-04-18,126.2961,127.5528,126.2961,127.5528,57
2007-04-24,128.4323,128.4323,127.7579,127.7579,279
2007-04-25,129.6106,129.6106,128.8631,128.8631,230
2007-05-04,133.8963,134.4271,133.8963,134.4271,114
2007-05-11,131.2053,131.4709,131.2053,131.4709,39
2007-05-14,133.5186,133.5186,132.4316,132.4316,9
2007-05-15,133.5856,133.5856,133.4652,133.4652,29
2007-05-18,135.1792,135.1792,134.1618,134.1618,102
2007-05-22,134.7341,134.7341,133.3983,133.3983,40
2007-05-23,134.1999,134.1999,133.0540,133.0540,413
2007-06-04,138.5649,138.5649,137.3463,137.3463,22
2007-06-06,135.4866,135.4866,132.1643,132.1643,23
2007-06-07,130.5777,130.5777,129.8505,129.8505,34
2007-06-13,127.7620,128.2773,127.7620,128.2773,23
2007-07-03,133.3587,134.3637,133.3587,134.3637,23
2007-07-11,136.3893,136.3893,136.2182,136.2182,402
2007-07-19,132.7791,133.9974,132.7791,133.9974,230
2007-07-24,133.1361,133.1361,131.0132,131.0132,8
2007-07-25,128.7260,129.9334,128.7260,129.9334,44
2007-08-28,127.1792,127.1792,126.0340,126.0340,217
2007-08-30,128.6110,128.6110,126.2329,126.2329,143
2007-08-31,129.1229,129.7444,129.1229,129.7444,130
2007-09-03,132.0188,132.0188,128.9690,128.9690,863
2007-09-04,130.6530,130.6530,129.3121,129.3121,227
2007-09-05,130.8343,130.8343,128.6914,128.6914,60
2007-09-07,127.6838,127.6838,124.6127,124.6127,443
2007-09-12,122.4043,122.8854,122.4043,122.8854,200
2007-10-05,133.5549,133.8423,133.5549,133.8423,253
2007-10-10,135.0396,135.0396,133.8218,133.8218,201
2007-10-11,136.3412,136.3412,136.2692,136.2692,202
2007-10-12,132.7809,134.8051,132.7809,133.4195,1097
2007-10-16,128.7692,129.4184,128.7692,129.4184,279
2007-11-01,128.4453,128.4453,126.8657,126.8657,4591
2007-11-02,127.8916,127.8916,126.3090,126.3090,11478
2007-11-06,128.4900,128.4900,125.6367,125.6367,21809
2007-11-07,130.1215,130.1215,125.3937,125.3937,4936
2007-11-16,120.5297,120.5297,120.5297,120.5297,1886
2007-11-19,116.7197,116.7197,116.7197,116.7197,230
2007-11-21,115.4954,115.4954,115.4954,115.4954,3145
2007-11-28,115.4932,115.4932,115.4932,115.4932,12496
2007-11-29,117.6368,117.6369,117.2214,117.2214,54617
2007-12-03,122.3023,122.3023,122.3023,122.3023,160
2007-12-04,117.3052,117.6021,117.3052,117.3052,8075
2007-12-05,117.7251,119.3240,117.7251,117.7251,3392
2007-12-07,121.8363,122.3297,121.8363,121.8363,9941
2007-12-10,125.1322,125.1322,125.1322,125.1322,220
2007-12-17,120.7000,121.4001,120.7000,120.7000,365
2007-12-18,121.6999,121.7000,121.2000,121.2000,26
2007-12-19,120.8000,120.8000,118.8000,118.8000,2065
2007-12-20,118.9610,119.2001,118.8795,118.8795,4169
2007-12-21,121.7000,121.7000,121.7000,121.7000,3451
2007-12-27,123.3001,123.3001,121.9072,121.9072,3990
2008-01-03,121.2250,121.2250,119.3000,119.3000,274
2008-01-04,119.0001,119.0001,115.6931,115.6931,1483
2008-01-07,115.6001,115.6001,114.2001,114.2001,2537
2008-01-08,113.7001,114.3000,113.6500,113.6500,1040
2008-01-09,115.1001,115.1001,112.9236,112.9236,47343
2008-01-10,111.0000,111.1741,111.0000,111.0000,3541
2008-01-11,111.1001,111.1001,110.6999,110.6999,696
2008-01-15,113.5000,113.5000,109.8000,109.8000,58022
2008-01-17,107.7000,107.7000,107.7000,107.7000,4743
2008-01-18,108.1674,108.1674,108.1674,108.1674,574
2008-01-22,104.8013,104.8013,104.8013,104.8013,57391
2008-01-23,106.1001,106.2115,100.0000,100.0000,82480
2008-01-24,108.3000,108.8573,106.0000,106.0000,419
2008-01-25,107.6000,108.6408,107.6000,107.6000,114955
2008-01-28,106.1001,106.1001,104.0251,104.0251,3616
2008-01-29,103.5000,105.5500,103.5000,103.5000,2629
2008-01-30,104.3001,104.7717,104.3001,104.3001,7471
2008-01-31,102.8000,104.6001,102.6000,102.6000,1407
2008-02-01,106.9001,109.0000,106.9001,106.9001,3107
2008-02-05,108.2000,109.1000,108.2000,108.2000,149
2008-02-06,105.2000,105.3682,105.2000,105.2000,748
2008-02-07,104.1501,104.1501,104.1501,104.1501,148
2008-02-11,99.9500,100.1001,99.9500,99.9500,181
2008-02-12,103.0001,103.0001,103.0001,103.0001,186
2008-02-14,106.4499,106.7000,105.2500,105.2500,7698
2008-02-15,105.4001,106.3501,103.7000,103.7000,13334
2008-02-18,105.4001,107.8000,105.4001,105.4001,601
2008-02-19,107.5500,108.4001,107.1501,107.1501,1832
2008-02-20,105.5150,105.5150,105.5150,105.5150,123964
2008-02-21,107.8000,107.8000,106.5500,106.5500,16180
2008-02-22,104.6001,104.6001,104.6001,104.6001,1
2008-02-26,110.8000,111.2756,109.7250,109.7250,46317
2008-02-27,108.0000,110.0000,107.1501,107.1501,8655
2008-02-28,108.4500,109.1194,108.4500,108.4500,109956
2008-02-29,107.2000,107.2000,107.2000,107.2000,5
2008-03-03,106.6001,106.6001,105.7500,105.7500,176
