date,open,high,low,close,volume
2006-03-08,58.6256,60.3387,58.6256,59.9961,515
2006-03-13,61.7665,61.7665,61.4880,61.6331,317
2006-03-14,60.3840,60.9936,60.3840,60.9936,1040
2006-03-15,61.1207,61.1207,60.7736,60.7736,210
2006-03-16,60.9475,60.9475,60.1558,60.5170,189
2006-03-17,60.6639,61.4044,60.6639,61.4044,100
2006-03-22,60.2759,61.2991,60.2759,61.2991,277
2006-03-23,61.2758,61.2758,60.8740,61.0271,522
2006-03-24,60.9395,61.4370,60.9395,61.4370,100
2006-03-27,61.6285,61.6285,60.6771,60.7920,3148
2006-03-28,60.6541,60.9210,60.6541,60.9210,236
2006-03-29,60.9799,60.9799,60.5490,60.5490,93
2006-03-30,61.1308,61.1687,61.1308,61.1687,120
2006-04-03,61.0778,61.0778,61.0208,61.0208,32
2006-04-05,60.6708,61.0565,60.6708,60.8868,187
2006-04-06,62.0149,62.0149,61.2469,61.9203,62
2006-04-10,61.6782,62.0777,61.6782,62.0777,675
2006-04-11,61.2187,61.2187,61.1729,61.1729,32
2006-04-12,61.5821,61.5821,60.4764,60.4764,5318
2006-04-13,60.8771,60.8771,60.1328,60.4573,370
2006-04-18,60.1074,60.3437,59.6668,59.8946,2232
2006-04-19,59.7167,60.5932,59.7167,60.2121,699
2006-04-21,61.1077,61.1077,60.7154,61.0774,149
2006-04-24,61.0735,61.0735,60.0484,60.6938,1667
2006-04-25,60.2506,60.2506,60.0795,60.0795,33
2006-04-27,59.5532,59.8768,59.5532,59.8768,126
2006-05-03,59.7736,59.7736,58.8074,58.8074,482
2006-05-04,58.1083,58.5965,57.6059,58.5965,2646
2006-05-05,58.9035,58.9035,58.1481,58.5411,224
2006-05-08,58.6192,58.8217,58.4077,58.8217,288
2006-05-09,58.7415,58.7719,58.7415,58.7719,225
2006-05-12,57.6463,57.8749,57.6463,57.8749,278
2006-05-15,57.0324,57.1276,57.0324,57.1276,102
2006-05-16,56.8634,58.3951,56.8634,58.0973,384
2006-05-17,58.6141,59.0472,58.1736,58.1736,911
2006-05-19,56.9103,57.6698,56.9103,57.0828,283
2006-05-22,56.3986,57.0401,56.3986,57.0401,64
2006-05-23,56.3253,57.3355,56.3253,57.3355,1151
2006-05-24,57.3661,57.3661,56.4396,56.4396,82
2006-05-26,57.3620,57.3620,56.9230,57.2666,8594
2006-05-30,57.6273,57.6273,56.7360,56.7360,293
2006-05-31,56.1194,56.6086,55.9099,56.2718,244
2006-06-01,55.6997,56.6340,55.6997,56.6340,120
2006-06-02,56.8839,57.1126,56.8839,57.1126,103
2006-06-05,56.9280,56.9280,56.3280,56.6250,219
2006-06-06,57.2014,57.2014,56.2606,56.3666,271
2006-06-07,56.4965,56.4965,56.0478,56.0478,135
2006-06-08,56.5050,56.5050,55.7313,55.7313,163
2006-06-12,55.1736,55.1736,55.0592,55.0592,137
2006-06-14,53.8197,54.0122,53.7079,54.0122,1516
2006-06-15,53.6423,53.9401,53.6423,53.9401,96
2006-06-16,54.8434,54.8434,53.8000,53.8000,229
2006-06-22,54.0146,54.3953,54.0146,54.3953,147
2006-06-23,54.6188,55.4366,54.6188,55.2274,1070
2006-06-26,54.7770,54.8340,54.7770,54.8340,62
2006-06-27,54.1932,54.3262,54.1932,54.3262,192
2006-06-28,53.9069,54.1919,53.9069,54.1919,150
2006-06-29,53.8606,55.3962,53.8606,55.3962,155
2006-06-30,54.7847,55.4111,54.7847,55.2782,532
2006-07-03,55.4622,55.8593,55.4622,55.8593,297
2006-07-05,55.6756,55.7515,55.6756,55.7515,26
2006-07-06,55.9965,56.1669,55.9965,56.1669,200
2006-07-10,55.9659,56.5924,55.9659,56.5924,1715
2006-07-11,56.7803,57.7288,56.7803,57.1976,356
2006-07-12,57.6364,58.3765,57.6364,57.6553,8897
2006-07-14,56.8704,56.8704,56.3382,56.3382,56
2006-07-17,55.8498,56.6300,55.8498,56.6300,67
2006-07-18,56.6195,56.9263,56.6195,56.9263,77
2006-07-19,55.9528,56.7805,55.9143,56.7805,1541
2006-07-21,57.3296,57.3296,56.8864,57.1947,99
2006-07-24,56.8002,58.0793,56.8002,58.0793,356
2006-07-26,57.9349,58.3795,57.9349,58.3795,18
2006-07-27,57.6509,57.7667,57.6509,57.7667,180
2006-07-28,57.3151,58.1622,57.3151,58.1622,571
2006-07-31,58.5560,58.6716,58.1130,58.6716,682
2006-08-02,57.4584,57.4584,57.3231,57.3231,400
2006-08-03,57.9914,57.9914,57.0821,57.0821,454
2006-08-04,57.1036,57.7294,57.0254,57.7294,464
2006-08-07,56.8294,57.5140,56.8294,57.0641,307
2006-08-09,57.6717,57.6717,57.3394,57.6522,2740
2006-08-10,57.4758,57.4759,57.1624,57.1624,5556
2006-08-11,57.3689,57.7030,57.3689,57.7030,510
2006-08-14,57.7306,57.8357,57.6391,57.8357,2362
2006-08-17,58.3991,58.9055,58.3991,58.9055,25
2006-08-18,58.5982,58.7084,58.5982,58.7084,116
2006-08-21,59.0403,59.0403,58.3606,58.5937,30
2006-08-22,58.3624,58.7722,58.3624,58.7722,35
2006-08-23,58.2423,58.8494,58.2423,58.8494,236
2006-08-24,58.6077,59.0382,58.6077,59.0382,3049
2006-08-25,58.5862,58.7822,58.5862,58.7822,34
2006-08-29,58.8678,59.1425,58.8678,59.1425,290
2006-08-30,60.0584,60.0584,59.4373,59.4373,66
2006-08-31,58.9164,59.0663,58.9164,59.0663,100
2006-09-05,58.2432,58.5761,58.2432,58.5761,390
2006-09-06,58.4147,58.4147,57.9466,58.2001,373
2006-09-07,58.2677,58.8140,57.8384,58.1701,540
2006-09-11,58.3110,58.8356,58.3110,58.8356,355
2006-09-12,59.1348,59.8213,59.1348,59.7036,6221
2006-09-13,60.0188,60.0188,59.9205,59.9205,150
2006-09-15,59.4758,60.0105,59.4758,60.0105,240
2006-09-18,59.8689,59.8689,59.7704,59.7704,50
2006-09-22,60.3708,60.5872,59.8788,60.1346,588
2006-09-25,60.7864,60.7864,60.1361,60.1361,166
2006-09-26,60.8831,60.8831,60.2903,60.5669,599
2006-09-27,61.2947,61.2947,60.8419,60.8419,457
2006-09-29,62.0734,62.0734,60.9744,61.1511,600
2006-10-02,61.2512,61.2512,61.1531,61.1531,432
2006-10-03,61.3559,61.3559,60.7256,60.9817,398
2006-10-05,60.5888,61.1208,60.5888,61.1208,1252
2006-10-06,60.6590,60.9159,60.6590,60.9159,253
2006-10-10,61.7381,61.7381,61.3634,61.3634,130
2006-10-11,61.4443,61.7407,61.4443,61.5036,5433
2006-10-12,61.3641,61.3641,60.9689,61.0677,192
2006-10-13,60.8877,61.0464,60.8877,61.0464,147
2006-10-16,61.3568,61.7923,60.9597,61.4553,1857
2006-10-17,61.6506,61.7499,60.9758,61.2338,1137
2006-10-18,61.6803,61.8478,61.3901,61.3901,454
2006-10-19,62.6460,63.1219,61.7337,63.1219,1142
2006-10-20,64.1410,64.1410,63.7043,63.7043,361
2006-10-23,64.2252,64.3644,64.0861,64.0861,691
2006-10-24,64.3846,64.3846,63.5888,63.9469,611
2006-10-25,64.1817,64.7389,63.7438,64.3409,1241
2006-10-26,64.1208,64.1208,63.6039,63.6039,657
2006-10-27,63.6455,63.6455,62.8311,63.4270,875
2006-10-30,63.1487,63.4473,63.1487,63.4473,254
2006-10-31,63.2266,63.5447,63.2266,63.5447,599
2006-11-01,63.6696,63.6696,62.7995,63.4946,161
2006-11-02,63.7935,63.7935,63.5819,63.5819,50
2006-11-03,64.1948,64.5745,63.8950,64.1348,419
2006-11-07,64.2680,64.3079,63.5701,64.0886,257
2006-11-09,62.5067,62.7646,62.5067,62.7646,124
2006-11-10,61.9550,61.9550,61.8756,61.8756,5442
2006-11-13,60.5746,61.2091,60.4953,60.8919,491
2006-11-14,60.1287,60.1287,60.1287,60.1287,116
2006-11-15,60.6060,60.8033,60.6060,60.8033,50
2006-11-16,60.4671,61.0201,60.4671,60.6646,2418
2006-11-17,60.7391,60.7391,60.6996,60.6996,48
2006-11-21,60.1782,60.5140,60.1782,60.5140,96
2006-11-22,59.9980,60.8647,59.9980,60.4117,279
2006-11-23,60.1283,60.4620,60.1283,60.4620,97
2006-11-24,59.9451,59.9451,59.7297,59.7297,170
2006-11-27,59.8891,59.9675,59.5753,59.5753,173
2006-11-29,59.1147,59.2467,58.9370,58.9370,353
2006-11-30,59.5303,59.5303,58.7011,58.7011,114
2006-12-01,59.2080,59.2278,57.7837,57.7837,1649
2006-12-04,57.0748,57.7286,57.0748,57.3126,266
2006-12-05,57.3682,57.8606,57.3682,57.8606,262
2006-12-07,58.0397,58.7082,58.0397,58.1774,102
2006-12-08,58.5041,58.5041,57.6192,57.8945,300
2006-12-11,58.3881,58.8413,58.3881,58.5260,410
2006-12-12,59.1334,59.2127,58.6778,58.6778,5640
2006-12-13,58.5917,58.8301,58.5917,58.8301,400
2006-12-14,59.3554,59.5151,59.3554,59.4951,158
2006-12-15,59.7736,60.3328,59.7736,60.1930,550
2006-12-19,59.4598,60.0802,59.4598,60.0802,7
2006-12-20,59.9258,59.9258,59.3245,59.3245,1634
2006-12-28,59.1586,59.1586,58.8776,59.1184,1161
2006-12-29,58.6291,58.6291,58.6091,58.6091,3
2007-01-03,58.8522,59.7530,58.8522,59.7530,313
2007-01-04,61.0629,61.0629,60.3610,60.6417,694
2007-01-05,60.9987,61.5587,60.9987,61.5587,200
2007-01-08,60.5536,60.8142,60.2929,60.2929,124
2007-01-09,61.1824,61.1824,60.0120,60.0120,124
2007-01-10,59.9135,60.2367,59.9135,60.2367,800
2007-01-11,61.0030,61.0030,60.6981,60.6981,6037
2007-01-12,60.9058,60.9775,60.2882,60.4725,801
2007-01-15,61.8075,61.9514,60.8620,61.9514,1175
2007-01-16,61.1737,61.5018,61.1737,61.5018,214
2007-01-17,61.3061,61.3473,61.2650,61.3473,292
2007-01-18,61.5056,61.5056,60.4946,60.8247,1051
2007-01-19,61.3243,61.4898,61.2210,61.2210,275
2007-01-22,60.5878,61.0632,59.9056,60.4224,282
2007-01-23,60.5732,60.5732,59.8511,60.2431,1402
2007-01-24,60.7551,60.8579,60.7551,60.8579,75
2007-01-25,60.8794,60.8794,60.7355,60.8589,360
2007-01-26,61.2488,61.2488,60.3021,60.4050,2403
2007-01-29,60.2383,60.6705,60.2383,60.6705,100
2007-02-01,61.0480,61.0480,60.3914,60.6992,533
2007-02-02,61.1457,61.1457,60.4264,60.8580,721
2007-02-06,61.1430,61.9230,61.1430,61.7382,277
2007-02-07,62.1365,62.1365,61.6250,61.6250,489
2007-02-08,60.8436,61.6202,60.8436,61.1910,1127
2007-02-09,61.9356,61.9356,60.9156,61.1604,2284
2007-02-12,61.7156,62.0293,61.3549,61.4979,7894
2007-02-13,61.5607,62.0286,61.2555,61.4996,5010
2007-02-14,62.0267,62.1082,61.5986,61.5986,1089
2007-02-15,61.0250,62.1173,61.0250,61.8948,594
2007-02-16,62.0224,62.4666,62.0224,62.2647,1296
2007-02-19,61.9725,62.0131,61.0942,61.3760,1186
2007-02-20,61.1230,61.1433,60.6368,60.6368,411
2007-02-22,60.1449,60.4090,59.8604,60.0839,959
2007-02-26,59.4678,59.7578,58.3605,59.7578,974
2007-02-27,58.4246,58.4246,57.5598,57.5598,208
2007-02-28,56.4652,57.4477,56.4652,57.2071,929
2007-03-01,56.9007,56.9007,56.2789,56.4995,194
2007-03-02,56.0163,56.5925,56.0163,56.2945,492
2007-03-05,57.0075,57.0075,55.8949,55.8949,133
2007-03-06,58.2773,59.4807,58.2773,58.9875,317
2007-03-07,58.2986,58.9108,58.2986,58.9108,100
2007-03-08,59.1707,59.9654,59.1111,59.3097,1895
2007-03-12,57.0224,58.1114,57.0224,57.7352,6498
2007-03-13,57.9474,58.0265,57.4134,57.9276,2886
2007-03-14,57.0788,58.0426,57.0788,57.4919,332
2007-03-15,56.7654,57.7308,56.7654,57.4353,650
2007-03-16,57.8934,57.8934,57.5985,57.5985,300
2007-03-19,58.2414,58.2414,57.3583,57.7076,950
2007-03-20,57.4834,57.8817,57.0454,57.8617,4514
2007-03-21,57.6153,57.8746,57.4956,57.8746,135
2007-03-22,57.3293,58.0282,57.3293,58.0282,64
2007-03-23,58.6697,58.6697,57.8355,58.1759,588
2007-03-26,57.9981,58.2384,57.8179,58.0382,192
2007-03-28,57.1373,57.3364,56.9582,57.2568,204
2007-03-30,58.0175,58.2381,58.0175,58.2381,300
2007-04-02,55.9474,56.6512,55.7262,56.1083,1013
2007-04-03,56.8534,56.9341,56.3083,56.3083,1792
2007-04-04,56.8234,56.8234,56.1776,56.4198,642
2007-04-05,56.3405,56.8617,55.7392,56.4808,409
2007-04-10,56.8486,57.0495,56.8486,56.8486,68
2007-04-11,56.9182,56.9182,56.2516,56.2516,499
2007-04-12,55.8461,56.3638,55.8461,56.2429,354
2007-04-13,57.3977,57.7208,57.2563,57.2563,6594
2007-04-16,58.0251,58.0251,57.5599,57.5599,40
2007-04-17,57.5384,57.7010,57.2741,57.7010,187
2007-04-20,58.6251,58.7265,58.3208,58.3208,16620
2007-04-23,59.6481,59.6481,58.6337,58.6337,414
2007-04-24,59.0297,59.0297,58.3234,58.5655,282
2007-04-25,59.1443,59.1443,58.1343,58.5585,1523
2007-04-26,58.5897,59.3959,58.5897,59.2951,2119
2007-04-27,59.5369,59.5369,59.4359,59.4359,100
2007-04-30,60.0501,60.0501,59.2414,59.2414,37600
2007-05-02,58.2360,59.4302,58.2360,59.4302,398
2007-05-03,59.9477,59.9477,59.1496,59.1496,195
2007-05-04,59.8609,59.8609,59.6992,59.6992,1000
2007-05-08,58.9825,59.5044,58.9825,59.2060,252
2007-05-09,59.9195,59.9195,59.2888,59.2888,588
2007-05-11,58.8891,58.8891,58.1001,58.5047,6548
2007-05-14,58.3928,58.7166,58.3928,58.7166,380
2007-05-15,58.7284,59.3343,58.7284,58.7284,304
2007-05-16,58.3352,58.5173,58.3352,58.5173,115
2007-05-18,59.1461,59.2678,58.2124,58.5371,977
2007-05-22,57.4705,57.4705,56.7914,57.0431,367
2007-05-23,57.3525,57.7610,57.1483,57.5567,336
2007-05-24,57.2510,58.0277,57.2510,57.7006,306
