date,open,high,low,close,volume
2005-01-04,191.1623,197.7541,191.1623,197.7541,69
2005-01-05,187.3887,194.5536,187.3887,194.5536,267
2005-01-06,196.2494,196.2494,191.8393,195.1469,753
2005-01-07,188.4915,195.6985,188.4915,195.6985,178
2005-01-10,191.5231,193.1837,187.6218,193.1837,768
2005-01-11,190.0168,192.7338,187.0585,192.7338,535
2005-01-12,188.3049,189.4061,186.1025,189.4061,132
2005-01-13,186.8361,189.5918,186.2850,189.5918,450
2005-01-14,192.2354,192.2354,186.7114,190.0258,367
2005-01-17,186.6874,188.8838,184.9253,186.6874,509
2005-01-18,187.0979,191.5262,187.0979,191.5262,440
2005-01-19,189.7633,193.0924,189.7633,193.0924,141
2005-01-20,189.4980,197.4189,189.4980,194.5141,30076
2005-01-21,188.6638,194.8105,188.6638,194.8105,348
2005-01-24,191.1385,193.3611,190.0272,193.3611,613
2005-01-25,190.5876,193.9312,189.4730,193.9312,362
2005-01-26,190.4680,195.4803,190.4680,193.8095,266
2005-01-27,195.7303,195.7303,193.5381,195.7303,73
2005-01-28,193.8268,197.1879,193.8268,197.1879,270
2005-01-31,193.9008,199.2958,193.9008,197.2633,15175
2005-02-01,194.2866,198.7787,190.4226,198.7787,514
2005-02-02,193.9554,197.7143,193.9554,197.7143,52
2005-02-03,195.6745,196.8056,193.4124,196.8056,498
2005-02-04,195.2810,198.1193,192.5970,198.1193,100
2005-02-07,195.1078,200.2124,192.7751,200.2124,789
2005-02-08,194.6081,199.5104,194.6081,199.5104,358
2005-02-09,194.5529,199.0774,192.7626,199.0774,154
2005-02-10,195.4588,199.3296,193.0563,198.8482,8383
2005-02-11,194.8715,198.2508,194.0983,198.2508,543
2005-02-14,199.0966,201.9247,199.0966,201.9247,272
2005-02-15,197.3980,203.4359,197.0456,201.9099,366
2005-02-16,197.7192,203.2830,197.7192,201.6030,132
2005-02-17,198.2269,208.8662,198.2269,208.8662,1442
2005-02-18,193.8895,210.6520,193.8895,210.6520,223
2005-02-21,206.2809,211.8864,203.3466,211.8864,159
2005-02-22,205.0774,206.1860,197.6324,206.1860,1060
2005-02-23,203.3998,206.7342,197.0088,205.0670,1071
2005-02-24,207.1772,210.5187,207.1772,210.5187,258
2005-02-25,209.4349,211.6748,205.0968,211.6748,303
2005-02-28,210.7312,212.9611,205.7102,212.9611,605
2005-03-01,208.1475,214.8620,205.9447,213.7429,341
2005-03-02,211.6429,212.2043,203.8922,212.2043,183
2005-03-03,211.3333,212.4574,206.1482,212.4574,1185
2005-03-04,207.6148,215.8621,207.6148,214.7378,275
2005-03-07,217.3945,219.0841,209.2457,219.0841,50
2005-03-08,216.1245,216.1245,206.2150,215.0046,2418
2005-03-09,207.9251,215.5562,205.5984,215.5562,524
2005-03-10,211.0067,213.2279,204.1048,213.2279,3785
2005-03-11,208.5036,214.0034,208.5036,214.0034,122
2005-03-14,205.4416,214.6667,205.4416,214.6667,412
2005-03-15,214.4045,215.5212,205.9052,215.5212,492
2005-03-16,210.9414,215.3822,210.9414,215.3822,307
2005-03-17,211.2605,214.5962,211.2605,214.5962,763
2005-03-18,212.4040,212.4040,201.4216,211.2860,693
2005-03-21,200.8518,210.9075,200.2528,210.9075,796
2005-03-22,205.5221,208.8730,199.4047,208.8730,777
2005-03-23,205.9851,209.3435,197.9131,207.6643,970
2005-03-24,209.6415,210.7626,201.1518,210.7626,978
