date,open,high,low,close,volume
2006-04-07,1061.6961,1061.6961,1059.1581,1059.1581,2
2006-11-22,1077.4241,1077.4241,1074.7211,1074.7211,5
2006-12-04,1092.4731,1092.4731,1086.0651,1086.0651,5
2007-01-16,1140.4341,1140.5841,1140.4341,1140.5841,10
2007-02-07,1128.1931,1132.8321,1128.1931,1132.8321,6
2007-02-20,1103.3891,1103.3891,1082.3761,1082.3761,5
2007-03-26,1102.7941,1117.2081,1102.7941,1117.2081,5
2007-04-11,1164.4811,1164.4811,1162.9141,1162.9141,1
2007-04-24,1164.6341,1164.6341,1162.0811,1162.0811,1
2007-08-16,1028.6541,1028.6541,1022.9451,1022.9451,3
2007-08-28,1065.1211,1065.1211,1064.0851,1064.0851,3
2007-08-29,1065.5801,1065.5801,1057.8711,1057.8711,16
2007-11-19,1072.1811,1072.1811,1072.1811,1072.1811,5
2007-11-22,1042.2051,1042.2051,1042.2051,1042.2051,21
2007-12-05,1076.3141,1076.3141,1076.3141,1076.3141,70
2007-12-18,1079.0301,1079.0301,1079.0301,1079.0301,1563
2007-12-19,1088.0001,1088.0001,1084.3311,1084.3311,366
2007-12-21,1082.4501,1092.0001,1082.4501,1082.4501,501
2008-01-14,1096.5681,1096.5681,1096.5681,1096.5681,834
2008-01-15,1072.5001,1073.7501,1072.5001,1072.5001,17
2008-01-17,1063.6621,1063.6621,1054.0001,1054.0001,2958
2008-01-23,988.2751,989.2501,988.2751,988.2751,39
2008-01-24,1006.0001,1024.0001,1006.0001,1006.0001,24
2008-01-28,1026.0001,1026.0001,1026.0001,1026.0001,78
2008-01-31,1040.5601,1060.0001,1040.5601,1040.5601,439
2008-02-13,1000.0001,1000.0001,1000.0001,1000.0001,7
2008-02-14,1017.9911,1017.9911,1017.9911,1017.9911,2605
2008-02-15,1030.0001,1030.0001,1030.0001,1030.0001,104
2008-02-19,1011.0001,1011.0001,1011.0001,1011.0001,104
2008-02-21,1021.0911,1021.0911,1013.4511,1013.4511,1841
2008-02-22,1015.5911,1015.5911,1015.5911,1015.5911,1313
2008-02-29,1045.0811,1045.0811,1045.0811,1045.0811,2922
2008-03-03,1033.0001,1033.0001,1033.0001,1033.0001,75
2008-03-04,1021.5041,1021.5041,1018.8641,1018.8641,859
2008-03-05,1036.0001,1036.0001,1036.0001,1036.0001,30
2008-03-06,1027.8401,1033.7501,1023.2971,1023.2971,6717
2008-03-10,1003.0001,1003.0001,1003.0001,1003.0001,208
2008-03-11,996.0001,996.0001,996.0001,996.0001,11
2008-03-18,984.3690,984.3690,984.3690,984.3690,127
2008-03-20,969.0001,969.0001,969.0001,969.0001,71
2008-03-25,1000.0001,1000.0001,1000.0001,1000.0001,28
2008-03-26,995.6001,999.5001,995.6001,995.6001,131
2008-03-31,977.5001,977.5001,968.5001,968.5001,8
2008-04-04,1030.0001,1030.0001,1030.0001,1030.0001,8
2008-04-10,1061.0001,1061.0001,1061.0001,1061.0001,83
2008-04-11,1062.5841,1062.5841,1036.0001,1036.0001,6158
2008-04-14,1022.0001,1022.0001,1022.0001,1022.0001,495
2008-04-16,1043.0071,1046.0001,1043.0071,1043.0071,1387
2008-04-17,1033.0001,1033.0001,1033.0001,1033.0001,1
2008-04-23,1047.0001,1049.0001,1045.0001,1045.0001,43
2008-04-24,1039.0001,1039.0001,1028.0001,1028.0001,120
2008-04-28,1052.2551,1052.2551,1051.4711,1051.4711,1292
2008-05-02,1029.2141,1029.2141,1020.0001,1020.0001,788
2008-05-06,979.7501,979.7501,979.0626,979.0626,42
2008-05-07,991.3859,991.3859,991.3859,991.3859,625
2008-05-08,1006.0001,1006.0001,1006.0001,1006.0001,2
2008-05-09,997.4926,997.4926,997.4926,997.4926,1876
2008-05-13,999.2015,999.2015,999.2015,999.2015,536
2008-05-15,999.0001,999.0001,999.0001,999.0001,55
2008-05-20,1013.8901,1013.8901,1013.8901,1013.8901,179
2008-05-21,1003.5001,1003.5001,1003.5001,1003.5001,2159
2008-05-22,995.0001,995.0001,995.0001,995.0001,1147
2008-05-23,995.5001,995.5001,995.5001,995.5001,16
2008-05-30,1010.0001,1010.0001,1010.0001,1010.0001,72
2008-06-02,1015.9381,1015.9381,1015.9381,1015.9381,17
2008-06-03,1007.8041,1007.8041,1007.8041,1007.8041,521
2008-06-09,1020.0711,1020.0711,1020.0711,1020.0711,104
2008-06-10,1015.0001,1015.0001,1015.0001,1015.0001,121
2008-06-11,1006.0001,1006.0001,1003.8751,1003.8751,6
2008-06-12,1003.8751,1003.8751,1002.4611,1002.4611,76
2008-06-17,1006.0001,1006.0001,1006.0001,1006.0001,19
2008-06-18,1000.0001,1000.0001,1000.0001,1000.0001,32
2008-06-25,927.6575,927.6575,927.3114,927.3114,677
2008-07-01,905.0233,905.0233,905.0233,905.0233,729
2008-07-02,911.4207,911.4207,911.4207,911.4207,625
2008-07-03,904.5001,904.5001,904.5001,904.5001,21
