date,open,high,low,close,volume
2014-03-25,284.0000,286.6950,284.0000,286.6950,262
2014-03-31,289.0000,289.0000,289.0000,289.0000,70
2014-05-08,295.7850,296.0986,295.7850,296.0986,334
2014-05-13,304.2500,304.2500,304.2500,304.2500,4
2014-06-02,299.2500,299.2500,299.2500,299.2500,12
2014-06-03,296.2500,296.2500,296.2500,296.2500,35
2014-06-16,307.2500,307.2500,307.2500,307.2500,7
2014-06-17,307.5000,307.5000,307.5000,307.5000,100
2014-06-19,311.0000,311.0000,311.0000,311.0000,1
2014-07-15,308.0000,308.0000,308.0000,308.0000,298
2014-07-16,311.5000,311.5000,311.5000,311.5000,60
2014-08-07,298.6900,298.6900,298.6900,298.6900,13
2014-08-11,302.6818,302.6818,302.6818,302.6818,211
2014-08-29,312.1100,312.1100,312.1100,312.1100,25
2014-09-18,314.9000,314.9000,314.9000,314.9000,60
2014-09-26,309.7000,309.7000,309.7000,309.7000,70
2014-10-06,303.5050,303.5050,303.5050,303.5050,20
2014-10-09,295.4900,295.4900,292.6100,292.6100,90
2014-10-17,295.9900,295.9900,293.6584,293.6584,395
2014-10-30,321.3253,322.8150,321.3253,322.8150,19141
2014-11-03,326.4603,326.4603,326.4603,326.4603,1042
2014-11-06,330.7500,330.7500,330.7500,330.7500,9
2014-11-13,326.8000,326.8000,326.8000,326.8000,120
2014-11-21,329.3900,329.3900,329.3900,329.3900,40
2014-12-02,343.0000,343.0000,343.0000,343.0000,100000
2014-12-05,338.6981,338.6981,338.6981,338.6981,1425
2014-12-08,340.4850,340.4850,340.4850,340.4850,65
2014-12-10,334.0850,334.0850,334.0850,334.0850,90
2015-01-09,358.7272,358.7272,358.7272,358.7272,180
2015-01-13,355.2834,355.2834,355.2834,355.2834,75
2015-01-16,301.5200,301.5200,301.5200,301.5200,173
2015-01-19,306.0000,306.0000,306.0000,306.0000,150
2015-01-21,301.3800,301.3800,301.3800,301.3800,30
2015-01-23,306.0850,307.1100,306.0850,307.1100,81
2015-01-28,310.0000,310.0000,310.0000,310.0000,1
2015-02-17,317.8760,317.8760,317.8760,317.8760,65
2015-03-05,340.0000,340.0000,340.0000,340.0000,201
2015-03-10,353.1068,353.1068,352.9966,352.9966,1115
2015-03-17,363.4050,363.4050,363.4050,363.4050,30
2015-04-01,366.0353,368.5310,366.0353,368.5310,3273
2015-04-02,365.4000,365.4000,365.4000,365.4000,10000
2015-04-13,370.5000,370.5000,370.5000,370.5000,4
2015-04-21,365.9800,365.9800,365.9800,365.9800,40
2015-04-23,364.9150,364.9150,364.9150,364.9150,13
2015-05-05,335.9150,335.9150,335.9150,335.9150,25
