date,open,high,low,close,volume
2014-04-03,3621.9999,3621.9999,3621.9999,3621.9999,300
2014-06-30,3621.0859,3621.0859,3621.0859,3621.0859,60
2014-07-01,3667.9999,3667.9999,3667.9999,3667.9999,240
2014-07-31,3539.9999,3539.9999,3539.9999,3539.9999,12000
2014-08-04,3499.9999,3499.9999,3499.9999,3499.9999,1500
2014-08-05,3429.5840,3433.0300,3428.6950,3428.6950,1500
2014-08-06,3428.6950,3428.6950,3428.6950,3428.6950,360
2014-08-07,3355.8600,3377.9100,3305.1200,3311.4620,162657
2014-08-08,3265.8130,3301.7640,3265.8130,3301.7640,5280
2014-10-07,3287.0000,3287.0000,3245.9470,3245.9470,19560
2014-10-28,3300.6600,3300.6600,3300.6600,3300.6600,720
2014-11-03,3373.0120,3373.0120,3373.0120,3373.0120,5880
2014-12-08,3128.6920,3128.6920,3128.6920,3128.6920,9900
2014-12-15,2936.6500,2936.6500,2931.0000,2931.0000,29219
2015-01-09,3048.5000,3048.5000,3048.5000,3048.5000,1020
2015-01-14,3206.0000,3206.0000,3206.0000,3206.0000,600
2015-02-09,3174.6350,3174.6350,3174.6350,3174.6350,180
2015-02-20,3237.0000,3237.0000,3237.0000,3237.0000,420
2015-03-10,3401.6800,3401.6800,3398.7660,3398.7660,2880
2015-03-24,3690.8889,3690.8889,3690.8889,3690.8889,125338
2015-03-25,3690.8889,3690.8889,3690.8889,3690.8889,43019
2015-04-07,3539.9999,3539.9999,3539.9999,3539.9999,1020
2015-05-13,3096.5000,3096.5000,3096.5000,3096.5000,420
2015-06-29,3322.0670,3322.0670,3322.0670,3322.0670,6960
2015-07-17,3435.0000,3435.0000,3435.0000,3435.0000,8340
2015-08-05,3508.9999,3508.9999,3508.9999,3508.9999,6000
2015-08-17,3267.2810,3267.2810,3267.2810,3267.2810,960
2015-09-07,3127.0000,3127.0000,3127.0000,3127.0000,120
2015-11-24,3298.0000,3298.0000,3298.0000,3298.0000,240
2015-12-08,3496.9999,3496.9999,3496.9999,3496.9999,6120
2015-12-15,3480.9999,3480.9999,3480.9999,3480.9999,1740
2016-01-28,3657.0529,3657.0529,3657.0529,3657.0529,1140
2016-03-10,3840.9999,3840.9999,3840.9999,3840.9999,120
2016-03-22,3749.9999,3749.9999,3749.9999,3749.9999,11580
2016-05-23,4287.1669,4287.1669,4287.1669,4287.1669,720
2016-05-27,4275.9099,4275.9099,4275.9099,4275.9099,5340
2016-05-31,4280.9999,4280.9999,4280.9999,4280.9999,1500
2016-06-01,4294.0149,4294.0149,4294.0149,4294.0149,960
2016-06-03,4295.8749,4295.8749,4295.8749,4295.8749,1200
2016-06-06,4266.7529,4266.7529,4266.7529,4266.7529,1200
2016-06-07,4252.8559,4252.8559,4252.8559,4252.8559,420
2016-06-08,4279.1369,4279.1369,4279.1369,4279.1369,12000
2016-06-13,4091.7499,4091.7499,4091.7499,4091.7499,180
2016-07-13,4184.5579,4184.5579,4184.5579,4184.5579,1560
2016-08-02,4534.3779,4534.3779,4534.3779,4534.3779,600
2016-08-05,4555.4999,4555.4999,4555.4999,4555.4999,180
2016-08-09,4622.9999,4622.9999,4622.9999,4622.9999,540
2016-08-10,4624.1819,4624.1819,4624.1819,4624.1819,660
2016-08-11,4672.0789,4672.0789,4672.0789,4672.0789,1140
2016-08-12,4647.3569,4647.3569,4647.3569,4647.3569,2100
2016-08-18,4604.0429,4604.0429,4604.0429,4604.0429,1380
2016-09-06,4773.5969,4773.5969,4773.5969,4773.5969,120
2016-09-23,4765.4999,4770.4999,4765.4999,4770.4999,153297
2016-09-27,4776.9999,4776.9999,4751.3159,4751.3159,4260
2016-09-28,4783.8749,4783.8749,4783.8749,4783.8749,720
2016-10-11,4697.2679,4697.2679,4671.4039,4671.4039,14460
2016-10-28,4226.3139,4226.3139,4226.3139,4226.3139,840
2016-11-01,4749.9999,4837.4999,4749.9999,4837.4999,16320
2016-11-25,4925.7539,4925.7539,4925.7539,4925.7539,8040
2016-12-05,4943.9709,4943.9709,4941.4989,4941.4989,11280
2016-12-08,4953.9999,4953.9999,4949.9999,4949.9999,126897
2016-12-19,4847.7409,4847.7409,4847.7409,4847.7409,21840
2016-12-22,4865.5599,4865.5599,4865.5599,4865.5599,2760
2017-02-01,5225.4669,5225.4669,5225.4669,5225.4669,840
2017-03-21,5862.5619,5862.5619,5862.5619,5862.5619,12060
2017-03-30,6019.1059,6019.1059,6019.1059,6019.1059,720
2017-04-12,6373.1499,6373.1499,6373.1499,6373.1499,8460
2017-04-18,6184.9999,6192.1129,6184.9999,6192.1129,900
2017-04-27,6376.2549,6376.2549,6376.2549,6376.2549,900
2017-04-28,6356.9889,6356.9889,6356.9889,6356.9889,120
2017-05-02,6384.7499,6399.7499,6384.7499,6399.7499,660
2017-05-04,6380.2499,6380.2499,6380.2499,6380.2499,1020
2017-05-05,6474.9999,6474.9999,6474.9999,6474.9999,120
2017-05-10,6434.9999,6434.9999,6434.9999,6434.9999,9840
2017-05-11,6299.9999,6299.9999,6299.9999,6299.9999,9900
2017-05-16,6244.9999,6244.9999,6244.9999,6244.9999,6000
2017-05-31,6257.8669,6257.8669,6257.8669,6257.8669,4860
2017-06-02,6294.7499,6311.6669,6294.7499,6311.6669,1560
2017-06-07,6290.2499,6290.2499,6290.2499,6290.2499,300
2017-06-14,6370.2499,6370.2499,6365.2499,6365.2499,240
2017-08-29,6634.9999,6679.9999,6604.9999,6659.7059,38279
2017-08-30,6654.9999,6722.0159,6654.9999,6689.0209,170817
2017-08-31,6720.6719,6800.6799,6714.9999,6799.9999,48779
2017-09-01,6819.9999,6890.6249,6819.9999,6876.2099,8160
2017-09-04,6829.9999,6869.9999,6829.9999,6869.2439,8700
2017-09-05,6869.9999,6888.6249,6799.2499,6799.2499,52259
2017-09-06,6779.9999,6819.9999,6758.7019,6799.9999,26519
2017-09-07,6839.9999,6944.9999,6829.9999,6944.9999,42839
2017-09-08,6914.9999,6934.9999,6914.9999,6934.9999,3120
2017-09-11,6974.9999,7070.4339,6935.7629,7049.9999,29939
2017-09-12,7079.9999,7149.9999,7079.9999,7103.7099,43019
2017-09-13,7099.9999,7114.9999,7084.9999,7103.1799,38219
2017-09-14,7114.9999,7114.9999,7092.4999,7110.1409,5280
2017-09-15,7098.5799,7134.5249,7080.6249,7124.2879,51419
2017-09-18,7179.9999,7234.9999,7154.9999,7174.3029,70559
2017-09-19,7204.9999,7214.9999,7149.9999,7204.9999,13320
2017-09-20,7254.9999,7254.9999,7169.9999,7205.7919,3900
2017-09-21,7229.9999,7230.0849,7184.9999,7224.2049,53939
