date,open,high,low,close,volume
2025-06-23,51.3500,56.2899,48.3000,51.9900,10547935
2025-06-24,52.5300,54.8400,52.1100,53.0000,10567986
2025-06-25,52.7000,52.9800,49.7800,50.2500,6947766
2025-06-26,48.9500,50.0300,48.8200,48.8900,4932462
2025-06-27,48.6500,49.4700,48.0100,49.0100,4012013
2025-06-30,49.1800,50.3900,49.0600,49.5500,3979899
2025-07-01,48.8700,49.7350,48.6800,49.6700,2930863
2025-07-02,49.1300,50.0000,49.0300,49.9500,1934304
2025-07-03,49.6600,50.1200,49.2000,49.8900,1638416
2025-07-07,49.9800,50.7500,49.8000,50.5400,3619301
2025-07-08,50.1900,50.6600,49.8700,50.1500,1987307
2025-07-09,50.2400,51.3800,50.1400,51.2900,3215935
2025-07-10,50.9500,51.2400,50.6600,50.9800,3788029
2025-07-11,50.7700,51.3400,50.3000,50.4000,2651345
2025-07-14,50.2500,50.5900,50.0710,50.5700,1411214
2025-07-15,50.9900,51.2700,50.5500,51.0200,2599455
2025-07-16,51.2000,51.2000,50.4200,50.9600,3569214
2025-07-17,50.4600,50.7700,50.0100,50.4800,3287897
2025-07-18,50.7000,50.7000,49.6000,49.6000,2768002
2025-07-21,49.4500,49.8800,49.2900,49.6800,2390306
2025-07-22,49.4400,50.5600,49.3900,50.2800,2277368
2025-07-23,50.3500,51.7200,50.2400,51.4700,4135146
2025-07-24,50.9700,51.2800,50.7500,51.1300,1850083
2025-07-25,50.9600,51.4883,50.9600,51.3400,1278588
2025-07-28,51.4000,51.4849,50.7300,51.1300,2008665
2025-07-29,51.8100,52.1600,51.4850,52.0500,1791857
2025-07-30,52.4300,52.7250,51.6600,52.0200,1646191
2025-07-31,51.0700,51.7000,50.0650,51.1200,3412096
2025-08-01,50.6200,51.2300,50.2350,51.0100,2282825
2025-08-04,50.7200,50.8400,50.2400,50.7800,1971028
2025-08-05,50.5900,50.6000,49.8200,50.1900,1525934
2025-08-06,49.7600,50.0800,49.0700,50.0100,3424945
2025-08-07,44.7400,47.8200,44.1200,46.6500,9773159
2025-08-08,46.6500,47.7800,46.3700,47.6700,4366287
2025-08-11,47.6800,48.0300,47.3400,47.3600,2765959
2025-08-12,46.8200,48.6000,46.8150,48.5700,2911613
2025-08-13,49.9800,51.6000,49.9000,51.5600,4170147
2025-08-14,51.5100,51.9200,51.0750,51.4800,2486522
2025-08-15,51.8800,52.3200,51.3800,51.3800,1658323
2025-08-18,51.0700,51.1500,50.4800,50.4900,1755391
2025-08-19,50.3400,50.9800,50.1200,50.9600,1682128
2025-08-20,50.4100,50.5100,49.0500,49.3000,2363137
2025-08-21,48.6500,49.4800,48.6500,49.4400,1847758
2025-08-22,49.5300,51.5050,49.4100,51.2400,1589325
2025-08-25,50.9100,51.7000,50.7700,51.1500,2168384
2025-08-26,51.1900,52.2100,51.1300,51.9600,1691652
2025-08-27,52.0000,52.2450,51.4300,51.9600,1808903
