date,open,high,low,close,volume
2014-11-21,17.4700,17.4700,17.3900,17.3900,7000
2014-11-24,17.5500,17.9900,17.3800,17.5800,6832
2014-11-25,17.5600,17.5600,17.4835,17.4835,4426
2014-11-26,17.5500,23.2000,17.5200,23.2000,2817
2014-11-28,18.0900,18.1300,17.9600,17.9900,111605
2014-12-01,18.1000,18.1300,17.8200,17.9000,450011
2014-12-02,17.9600,18.0200,17.8800,18.0000,567380
2014-12-03,18.1700,18.1900,18.0200,18.1100,798088
2014-12-04,18.1400,18.2200,18.0900,18.1600,804024
2014-12-05,18.1000,18.2200,18.0600,18.1900,837178
2014-12-08,18.0600,18.1200,17.9800,18.0300,828344
2014-12-09,17.9300,18.0400,17.8800,17.9600,732309
2014-12-10,17.9400,17.9699,17.7000,17.7100,890986
2014-12-11,17.7800,17.8456,17.7000,17.7500,813202
2014-12-12,17.7300,17.8100,17.3300,17.4000,1257783
2014-12-15,17.5100,17.5500,17.1600,17.1800,993134
2014-12-16,17.1700,17.5200,17.1400,17.2200,1063121
2014-12-17,17.2900,17.4600,17.1800,17.3700,688919
2014-12-18,17.4600,17.6100,17.4000,17.6000,759915
2014-12-19,17.3300,17.4466,17.2700,17.3800,1021196
2014-12-22,17.4500,17.5400,17.4450,17.5300,701889
2014-12-23,17.5000,17.6100,17.4700,17.5000,1097125
2014-12-24,17.4700,17.6300,17.4600,17.6100,450226
2014-12-26,17.5200,17.7200,17.5100,17.6700,531820
2014-12-29,17.3600,17.3950,17.2700,17.3100,813893
2014-12-30,17.2600,17.3500,17.2300,17.2700,601205
2014-12-31,17.2300,17.2510,17.0300,17.0500,561290
2015-01-02,17.0500,17.3000,17.0000,17.0900,1438216
2015-01-05,16.8100,16.8200,16.5000,16.6000,1406023
2015-01-06,16.6200,16.6600,16.3500,16.4100,744680
2015-01-07,16.6100,16.7500,16.4900,16.6900,809760
2015-01-08,16.6000,16.7400,16.5900,16.6500,1103924
2015-01-09,16.5900,16.6100,16.4300,16.5400,758989
2015-01-12,16.4200,16.4900,16.3100,16.3800,1159481
2015-01-13,16.6500,16.8250,16.4600,16.5900,1722594
