,Alcon AG,Logitech International SA,Swisscom AG,Holcim Ltd,Novartis AG,Swiss Life Holding AG,Kühne & Nagel AG,Lonza Group AG,Partners Group Holding AG,Zurich Insurance Group AG,Givaudan SA,Geberit AG,Sika AG,ABB Ltd,Amrize Ltd,Nestlé SA,Roche Holding Ltd,UBS Group AG
Alcon AG,1.0,-0.8449372740934901,-0.6508460267432006,-0.61295851683785,-0.6971978071600222,-0.29342872689525673,0.8802082654944725,0.5575705410429954,0.6044408671072216,-0.13974527818597038,0.6180357711314644,0.6314447416620308,0.8109650230628219,-0.7984084196901793,0.20775524117753294,-0.1741493531909065,-0.5618382335912282,-0.5457111128886252
Logitech International SA,-0.8449372740934901,1.0,0.7238951148126167,0.8453578392409551,0.6606406589840806,0.4794436714860756,-0.825735528644574,-0.45253174167527394,-0.5506182644524629,0.27519608933283407,-0.7153969717318084,-0.35839016468239504,-0.9295621021318831,0.8518192051960382,-0.09915275368839542,0.12493535888986601,0.5249148040262472,0.5995989790239702
Swisscom AG,-0.6508460267432006,0.7238951148126167,1.0,0.6671509125646577,0.707388168826507,0.6779296713960953,-0.5981817058755234,-0.29497807290488076,-0.3067078641192386,0.6308828658844041,-0.6371615205555874,-0.16448069505300697,-0.6844692684414286,0.7333029701951107,-0.08161569626922197,0.008808701094137956,0.3869334121856607,0.6010190049096111
Holcim Ltd,-0.61295851683785,0.8453578392409551,0.6671509125646577,1.0,0.44687101417919844,0.6537070953671281,-0.6318876491390905,-0.37380981426103377,-0.28561219527032283,0.442917098544663,-0.7862988598042214,-0.13361107159274527,-0.8629391222292742,0.7856726675854634,-0.03492035452347071,-0.09860931940285807,0.35250509192050417,0.6868463696662367
Novartis AG,-0.6971978071600222,0.6606406589840806,0.707388168826507,0.44687101417919844,1.0,0.420513174620744,-0.683287137285368,-0.24049567226650972,-0.5309784490575149,0.44419382185995276,-0.40069957323567423,-0.29868630507870036,-0.6186552696380174,0.5970873260831948,-0.21897061728725922,0.3180691983081406,0.7126044706813602,0.4169913692838286
Swiss Life Holding AG,-0.29342872689525673,0.4794436714860756,0.6779296713960953,0.6537070953671281,0.420513174620744,1.0,-0.3952313884128221,-0.19896506119326784,-0.01576701846119963,0.7717315733606062,-0.6430395095516723,0.1953249463474235,-0.5612887646383752,0.5606276260306612,-0.23162202280859445,-0.17713250038419506,0.12411811118272069,0.5033624739159721
Kühne & Nagel AG,0.8802082654944725,-0.825735528644574,-0.5981817058755234,-0.6318876491390905,-0.683287137285368,-0.3952313884128221,1.0,0.6293596417633515,0.6462364504917479,-0.11023744921497944,0.6825527887598193,0.41834123534341067,0.8584774363289,-0.8039574109005201,0.4261600143581953,-0.1314745431495294,-0.6612581455301699,-0.4961964177878887
Lonza Group AG,0.5575705410429954,-0.45253174167527394,-0.29497807290488076,-0.37380981426103377,-0.24049567226650972,-0.19896506119326784,0.6293596417633515,1.0,0.3789544897610264,0.03647106830097247,0.5549155313455324,0.17676056559098205,0.5367166218217484,-0.37562796819821004,0.4794850799886427,0.16617434531154068,-0.28978173899955706,-0.3575413409184585
Partners Group Holding AG,0.6044408671072216,-0.5506182644524629,-0.3067078641192386,-0.28561219527032283,-0.5309784490575149,-0.01576701846119963,0.6462364504917479,0.3789544897610264,1.0,0.2376356226054557,0.0816573051169531,0.12464606163592089,0.6288434670907634,-0.30732882433618264,0.32519484059102705,-0.6658372706887792,-0.66971917111424,0.19132743428981858
Zurich Insurance Group AG,-0.13974527818597038,0.27519608933283407,0.6308828658844041,0.442917098544663,0.44419382185995276,0.7717315733606062,-0.11023744921497944,0.03647106830097247,0.2376356226054557,1.0,-0.4606325552028185,0.11682421603170852,-0.26046280811116657,0.36918173360110706,0.07867925630838585,-0.28232312670341264,0.05258499028188736,0.5445056988659446
