Ticker,Company,Data_Points,Start_Date,End_Date,Timespan_Days,Timespan_Years,Missing_Values,Avg_Volume,Avg_Close,Min_Close,Max_Close,Volatility_%
0A0D.LON,Alcon AG,1244,2019-04-17,2025-11-20,2409,6.6,0,167927.95739549838,70.0841532154341,43.2202,84.96,10.56
0QK6.LON,Logitech International SA,2137,2014-03-10,2025-11-20,4273,11.7,0,164192.32381843706,59.79036546560599,11.3935,124.65,38.26
0QKI.LON,Swisscom AG,2511,2006-03-24,2025-11-20,7181,19.66,0,20752.108323377142,496.3126020708881,293.5,619.4929,12.06
0QKY.LON,Holcim Ltd,2722,2006-02-28,2025-11-20,7205,19.73,0,178326.8170462895,62.7111731814842,28.5984,137.3463,31.11
0QLR.LON,Novartis AG,3405,2006-03-08,2025-11-20,7197,19.7,0,655984.938619677,71.98841999999999,32.793,106.5564,20.77
0QMG.LON,Swiss Life Holding AG,2365,2006-03-27,2025-11-20,7178,19.65,0,19950.1221987315,477.1822772093023,45.11,909.3,36.0
0QMW.LON,Kühne & Nagel AG,2234,2014-05-19,2025-11-20,4203,11.51,0,40513.12399283796,201.38666808415402,116.695,360.8,28.23
0QNO.LON,Lonza Group AG,2434,2006-03-07,2025-11-20,7198,19.71,0,34435.01807723911,415.247752588332,81.5,777.8,43.16
0QOQ.LON,Partners Group Holding AG,2162,2014-04-15,2025-11-20,4237,11.6,0,10648.566142460684,956.3690518963922,219.875,1658.5,29.09
0QP2.LON,Zurich Insurance Group AG,3790,2005-01-04,2025-11-20,7625,20.88,0,52827.40976253298,343.27325406332454,126.15,623.4,28.06
0QPS.LON,Givaudan SA,2734,2006-04-07,2025-11-20,7167,19.62,0,3340.293343087052,2854.7213016093633,603.0001,4824.0,35.19
0QQ2.LON,Geberit AG,2224,2014-03-25,2025-11-20,4258,11.66,0,19298.089478417267,501.37885683453237,286.695,775.0,18.67
0Z4C.LON,Sika AG,2068,2014-04-03,2025-11-20,4249,11.63,0,77549.5087040619,1060.0509127659575,113.6,8617.9999,210.34
ABBNY,ABB Ltd,6194,2001-04-06,2025-11-20,8994,24.62,0,1917976.8165967064,22.472893687439456,1.14,75.01,58.1
AMRZ,Amrize Ltd,107,2025-06-23,2025-11-20,150,0.41,0,3713004.7943925234,50.313177570093465,46.65,55.63,3.91
NSRGY,Nestlé SA,4612,2007-07-13,2025-11-20,6705,18.36,0,1334825.52905464,86.21637406764961,29.86,141.12,30.29
RHO6.FRK,Roche Holding Ltd,5318,2005-01-03,2025-11-20,7626,20.88,0,157.2809326814592,663.527441143287,21.36,605732.864,2810.93
UBS,UBS Group AG,2766,2014-11-21,2025-11-20,4017,11.0,0,2644630.70824295,19.193589479392624,7.65,42.38,37.02
