date,open,high,low,close,volume
2006-03-24,425.9913,430.0105,425.9913,430.0105,210
2006-04-05,423.5180,425.0704,423.5180,425.0704,19
2006-06-02,400.1713,400.6263,400.1713,400.6263,3
2006-09-05,412.6779,412.7947,412.6779,412.7947,29
2006-09-18,411.3908,411.3908,410.3096,410.3096,22
2006-12-06,443.3904,443.3904,441.8167,441.8167,21
2007-01-03,467.0433,468.1662,467.0433,468.1662,10
2007-01-15,474.0964,477.5555,474.0964,477.5555,18
2007-01-30,468.3437,468.3437,468.3192,468.3192,68
2007-02-19,479.3658,479.3658,475.7379,475.7379,34
2007-02-20,472.8052,473.4339,472.8052,473.4339,21
2007-03-13,431.2648,436.9772,431.2648,436.9772,82
2007-04-05,439.8557,439.8557,437.8224,437.8224,50
2007-04-30,430.5182,430.5183,427.5018,427.5018,55
2007-05-10,424.1859,424.1859,421.6693,421.6693,6
2007-06-11,415.2956,418.0759,415.2955,418.0759,102
2007-10-29,427.6022,427.6023,417.4180,417.4180,140
2007-11-08,409.6395,413.2867,409.6394,413.2867,4499
2007-11-16,410.9822,410.9822,410.9822,410.9822,3673
2007-11-19,415.0701,415.0701,415.0701,415.0701,20
2007-11-28,422.8594,422.8594,422.8594,422.8594,1184
2007-11-29,424.9394,424.9396,423.2902,423.2902,8483
2007-11-30,427.6736,427.6736,427.6736,427.6736,200
2007-12-03,431.9006,431.9006,431.9006,431.9006,3
2007-12-04,429.5805,429.5805,428.9825,428.9825,1456
2007-12-05,433.2240,435.1852,433.2240,433.2240,4464
2007-12-07,439.9643,439.9643,439.9643,439.9643,4
2007-12-10,440.8181,440.8181,440.8181,440.8181,4
2007-12-17,437.4997,437.5000,436.7499,436.7499,67
2007-12-19,437.2499,437.2499,437.2499,437.2499,165
2007-12-20,436.2500,436.2500,436.2500,436.2500,34
2007-12-21,441.0000,441.0000,441.0000,441.0000,6
2008-01-08,432.7008,432.7008,429.2500,429.2500,604
2008-01-14,420.6406,420.6406,420.6406,420.6406,873
2008-01-17,415.4149,416.0785,415.4149,415.4149,3698
2008-01-21,410.3125,410.3125,403.2500,403.2500,268
2008-01-23,405.2500,405.3304,404.8769,404.8769,6661
2008-01-24,405.0438,411.2500,403.0000,403.0000,14918
2008-01-25,416.5000,416.5000,416.5000,416.5000,100
2008-01-28,408.2500,408.2500,407.3979,407.3979,1132
2008-01-29,413.3321,413.3321,413.3321,413.3321,2700
2008-01-30,420.1250,425.7500,420.1250,420.1250,4352
2008-01-31,425.4198,428.5000,425.4198,425.4198,1714
2008-02-05,424.2500,424.6875,417.6250,417.6250,5711
2008-02-07,414.0000,414.0000,410.0000,410.0000,277
2008-02-12,406.2500,406.2500,406.2500,406.2500,262
2008-02-13,408.5000,408.5000,408.5000,408.5000,48
2008-02-14,412.7000,412.7000,412.7000,412.7000,165
2008-02-15,406.5000,406.5000,406.5000,406.5000,138
2008-02-19,410.3461,412.0000,410.3461,410.3461,542
2008-02-20,416.0000,416.0000,416.0000,416.0000,2667
2008-02-21,413.3472,413.3472,413.3472,413.3472,4773
2008-02-22,411.5000,411.5000,411.5000,411.5000,14
2008-02-25,410.3750,412.2500,410.3750,410.3750,5715
2008-02-26,414.0000,414.0000,413.7500,413.7500,236
2008-02-28,405.7310,405.7310,405.0598,405.0598,3989
2008-02-29,402.5229,402.5229,402.5229,402.5229,11623
2008-03-03,391.1122,391.1122,391.1122,391.1122,3500
2008-03-04,390.3125,390.3125,385.7500,385.7500,488
2008-03-05,374.5000,374.5000,374.5000,374.5000,310
2008-03-06,374.4466,374.4466,374.4466,374.4466,1400
2008-03-07,357.5000,357.5000,356.5000,356.5000,4205
2008-03-10,352.8008,352.8008,349.5541,349.5541,1365
2008-03-11,345.5000,352.5389,345.5000,345.5000,11900
2008-03-12,356.7903,356.7903,356.0000,356.0000,942
2008-03-13,350.5703,351.5465,350.5703,350.5703,4303
2008-03-18,339.0000,339.0000,333.4793,333.4793,5374
2008-03-19,328.2334,328.2334,328.2334,328.2334,4403
2008-03-20,331.0000,331.0000,331.0000,331.0000,300
2008-03-25,337.5000,340.7500,337.5000,337.5000,325
2008-03-26,344.2669,344.2669,344.2669,344.2669,4805
2008-03-31,339.0000,339.0000,337.7219,337.7219,20642
2008-04-03,348.5000,348.5000,348.5000,348.5000,120
2008-04-04,356.0000,356.0000,356.0000,356.0000,319
2008-04-07,357.9668,359.3281,357.9668,357.9668,404
2008-04-09,370.2500,370.2500,369.7500,369.7500,29
2008-04-11,364.0000,364.0000,364.0000,364.0000,83
2008-04-14,361.6969,361.7104,361.6969,361.6969,1430
2008-04-15,365.4008,365.4008,365.4008,365.4008,7754
2008-04-16,370.2580,370.2580,370.2580,370.2580,3150
2008-04-17,371.8466,371.8466,368.5625,368.5625,2272
2008-04-18,371.9688,376.2500,371.5471,371.5471,5184
2008-04-21,372.6250,377.0000,372.1250,372.1250,6448
2008-04-22,374.7188,378.8750,374.7188,374.7188,231
2008-04-23,375.2500,376.0000,370.0312,370.0312,3221
2008-04-24,372.0000,376.0000,371.7500,371.7500,420
2008-04-25,362.5000,362.5000,362.5000,362.5000,389
2008-04-29,363.4589,365.0321,363.4589,363.4589,8791
2008-04-30,370.0000,370.0000,370.0000,370.0000,1318
2008-05-02,373.5000,373.5000,372.4135,372.4135,203
2008-05-06,374.0000,374.0000,374.0000,374.0000,1
2008-05-07,357.8239,357.8239,357.8239,357.8239,34
2008-05-08,359.3750,359.5000,358.9688,358.9688,1286
2008-05-09,356.2500,359.0000,356.2500,356.2500,393
2008-05-13,361.2082,361.2082,359.6659,359.6659,15287
2008-05-15,365.5829,365.5829,365.5829,365.5829,2590
2008-05-16,366.9543,366.9543,366.9543,366.9543,2395
2008-05-21,362.1019,362.1019,362.1019,362.1019,477
2008-05-22,361.7500,361.8882,361.7500,361.7500,1423
2008-05-23,363.9556,363.9556,363.9556,363.9556,45
2008-05-27,359.7357,359.7357,359.7357,359.7357,401
2008-05-29,365.5312,365.7500,365.5312,365.5312,227
2008-06-02,363.0000,363.0000,363.0000,363.0000,7
2008-06-03,361.7500,361.7500,361.7500,361.7500,16
2008-06-05,364.0336,364.0336,364.0336,364.0336,1240
2008-06-09,358.7500,358.7500,358.7500,358.7500,15
2008-06-10,355.0000,356.2500,355.0000,355.0000,173
2008-06-12,351.2603,357.0000,351.2603,351.2603,466
2008-06-13,358.7500,358.7500,358.7500,358.7500,10000
2008-06-18,354.5000,354.5000,354.5000,354.5000,107
2008-06-19,348.7500,348.7500,348.7500,348.7500,66
2008-06-20,351.6250,351.6250,351.6250,351.6250,2945
2008-06-26,342.2188,342.2188,342.2188,342.2188,130
2008-06-30,340.7281,340.7281,340.7281,340.7281,451
2008-07-02,333.2500,335.6784,333.2500,333.2500,176
2008-07-03,332.2500,334.5000,332.2500,332.2500,349
2008-07-04,333.3682,333.3682,333.3682,333.3682,3540
2008-07-07,330.6404,330.6404,330.6404,330.6404,5614
2008-07-08,331.2500,331.2500,331.2500,331.2500,150
2008-07-09,329.4885,329.4885,329.4885,329.4885,1134
2008-07-16,311.0679,311.0679,311.0679,311.0679,394
2008-07-17,317.0000,317.0000,315.0000,315.0000,12733
2008-07-22,327.5000,327.5000,319.5665,319.5665,710
2008-07-28,328.9033,328.9033,328.9033,328.9033,300
2008-07-30,334.5000,336.0000,334.5000,334.5000,5379
2008-08-04,336.7828,336.8764,336.7828,336.7828,12830
2008-08-05,336.5000,338.7500,336.5000,336.5000,207
2008-08-06,344.5000,344.5000,344.5000,344.5000,66
2008-08-07,345.0000,345.0000,345.0000,345.0000,2777
2008-08-13,354.9811,354.9811,354.5715,354.5715,2067
2008-08-18,351.7500,352.7500,351.7500,351.7500,91
2008-08-19,349.5800,349.5800,349.5800,349.5800,2612
2008-08-20,340.7500,341.8055,340.7500,340.7500,5532
2008-08-22,346.2018,346.2018,346.2018,346.2018,311
2008-08-26,343.8188,343.8188,343.8188,343.8188,182
2008-08-28,348.5000,349.2500,347.7500,347.7500,525
2008-08-29,350.3750,353.7500,349.3750,349.3750,1838
2008-09-03,358.1250,359.7500,358.1250,358.1250,39382
2008-09-04,357.1250,357.1250,353.0000,353.0000,270
2008-09-05,352.9688,352.9688,352.9688,352.9688,48
2008-09-10,361.9463,361.9463,361.9463,361.9463,228
