date,open,high,low,close,volume
2006-03-27,279.2102,279.2102,277.5638,277.5638,515
2006-03-28,272.1922,272.1922,268.4383,268.4383,90
2006-04-04,284.8166,285.5182,284.8166,285.5182,10
2006-05-09,302.1329,302.1329,301.1080,301.1080,10
2006-06-13,245.7504,247.0669,244.5929,247.0669,515
2006-07-03,289.0493,289.1170,289.0493,289.1170,20
2007-01-10,310.2202,310.2202,309.3763,309.3763,10
2007-02-16,325.7462,327.7222,325.7462,327.7222,10
2007-02-20,331.9527,331.9527,327.9870,327.9870,12
2007-03-15,300.3338,300.3338,297.9351,297.9351,20
2007-03-28,300.0625,300.0625,299.1358,299.1358,10
2007-04-13,311.2214,311.5107,311.2214,311.5107,10
2007-05-18,325.1082,325.2535,325.1082,325.2535,37
2007-05-29,329.6122,329.6122,329.5637,329.5637,68
2007-06-12,320.5114,321.2223,320.5114,321.2223,20
2007-07-02,320.5490,321.6709,320.5490,321.6709,12
2007-07-10,319.1160,319.1160,317.4424,317.4424,163
2007-07-13,312.5616,317.4293,312.5616,317.4293,90
2007-11-02,311.0822,312.6842,311.0822,312.6842,5000
2007-11-06,313.3162,313.3162,311.0203,311.0203,16500
2007-11-07,311.6979,311.6979,310.4187,310.4187,5000
2007-11-09,286.0471,305.5851,286.0471,305.5851,10000
2007-11-12,280.9341,302.0053,280.9341,302.0053,4517
2007-11-13,281.0506,303.2168,281.0506,303.2168,3142
2007-11-14,284.9379,301.2375,284.9379,301.2375,33500
2007-11-15,292.2095,292.2095,292.2095,292.2095,153
2007-11-16,285.3997,285.3997,285.3997,285.3997,74
2007-11-19,291.7992,291.7992,291.7992,291.7992,40
2007-11-21,300.7577,300.7577,300.7577,300.7577,1288
2007-11-28,304.0417,304.0417,304.0417,304.0417,936
2007-12-03,309.4998,309.4998,309.4998,309.4998,35
2007-12-04,297.1052,297.1052,297.1052,297.1052,2883
2007-12-05,300.5585,300.6352,300.5585,300.5585,343
2007-12-07,310.1059,310.1059,310.1059,310.1059,1
2007-12-10,309.8250,309.8250,309.8250,309.8250,78
2007-12-18,290.2885,290.2885,290.2885,290.2885,1
2007-12-19,285.7499,285.7499,285.7499,285.7499,3226
2007-12-21,283.2500,283.2500,283.2500,283.2500,1147
2007-12-27,282.2500,282.2500,282.2500,282.2500,156
