date,open,high,low,close,volume
2014-05-19,118.7500,119.2500,118.7500,119.0000,372
2014-05-20,119.7500,119.7500,119.5000,119.5000,210
2014-05-21,120.2500,120.2500,120.0000,120.0000,78
2014-05-22,120.7500,120.7500,120.7500,120.7500,25
2014-05-23,120.7500,120.7500,120.7500,120.7500,12
2014-05-28,121.5000,122.2500,121.5000,122.2500,202
2014-05-30,122.5000,122.5950,122.5000,122.5950,83
2014-06-11,123.0000,123.0000,123.0000,123.0000,30
2014-06-16,121.0000,121.0000,120.4571,120.5132,863
2014-06-17,120.0000,120.0000,120.0000,120.0000,13
2014-06-20,120.2500,120.2500,120.2500,120.2500,50
2014-06-23,120.5000,120.5000,119.5000,119.5000,94
2014-06-30,118.2719,118.2719,118.2719,118.2719,3114
2014-07-04,116.6950,116.6950,116.6950,116.6950,31
2014-07-18,120.2500,120.2500,120.2500,120.2500,1
2014-08-07,119.0272,119.0272,119.0272,119.0272,3209
2014-08-08,118.8492,118.8492,118.8492,118.8492,5608
2014-08-29,123.2500,123.2500,123.2500,123.2500,7
2014-09-01,124.0000,124.0000,124.0000,124.0000,60
2014-09-22,122.8000,122.8000,122.8000,122.8000,45000
2014-09-26,120.2500,120.2500,120.2500,120.2500,88
2014-10-08,117.7158,117.7158,117.7158,117.7158,448
2014-10-14,117.4000,117.4000,117.4000,117.4000,7800
2014-10-17,117.7500,117.7500,117.7500,117.7500,26
2014-10-28,121.5977,121.5977,121.5977,121.5977,92
2014-11-03,124.1664,124.1664,124.1664,124.1664,2539
2014-11-11,126.7500,126.7500,126.7500,126.7500,7
2014-11-18,126.2500,126.2500,126.2500,126.2500,125
2014-11-27,130.5888,130.5888,130.5888,130.5888,67
2014-12-08,133.3080,133.3080,133.3080,133.3080,1280
2014-12-19,134.5000,134.5000,134.5000,134.5000,18
2014-12-22,134.9270,134.9270,134.9270,134.9270,1
2015-01-07,136.0000,136.0000,136.0000,136.0000,16
2015-01-15,123.2500,123.2500,123.2500,123.2500,88
2015-01-26,122.5000,122.5000,122.5000,122.5000,70
2015-01-29,124.2500,124.2500,124.2500,124.2500,30
2015-01-30,126.7000,126.7000,126.7000,126.7000,59
2015-02-17,131.7500,131.7500,131.7500,131.7500,70
2015-02-19,134.5900,134.5900,134.5900,134.5900,200
2015-02-26,138.9000,140.4100,138.9000,140.4100,20000
