date,open,high,low,close,volume
2006-03-07,84.8633,85.5695,84.8633,85.5695,43
2006-04-04,89.6729,89.6729,89.4013,89.4013,28
2006-10-17,88.3895,88.3895,88.1289,88.1289,29
2006-10-24,96.1051,96.1051,95.7488,95.7488,13
2006-10-31,97.1470,97.1470,95.2729,95.2729,26
2006-11-10,103.3162,103.3399,103.3162,103.3399,22
2006-11-23,104.0992,104.0992,103.9821,103.9821,27
2007-03-05,107.6117,107.6117,106.3174,106.3174,48
2007-04-27,117.9593,117.9593,117.9593,117.9593,42
2007-06-06,118.0506,118.0506,117.6384,117.6384,54
2007-06-08,114.5751,114.8422,114.5751,114.8422,27
2007-06-15,118.9992,118.9992,118.0411,118.0411,27
2007-08-07,110.7348,111.9280,110.7348,111.9280,54
2007-11-06,133.5240,134.4930,133.5240,134.4930,160
2007-11-13,131.8370,131.8370,131.1185,131.1185,126
2007-11-14,126.4034,130.2626,126.4034,130.2626,234
2007-11-30,128.1690,128.1690,128.1690,128.1690,648
2007-12-05,124.0106,133.1490,124.0106,124.0106,519
2007-12-07,124.4645,124.4645,124.4645,124.4645,3
2007-12-18,134.2524,134.2524,131.5906,131.5906,34764
2007-12-19,132.5000,135.6000,132.5000,132.5000,4738
2007-12-20,135.4253,135.4253,135.4253,135.4253,4426
2007-12-27,134.2484,134.2484,134.2484,134.2484,4729
2007-12-28,135.6075,136.6970,135.6075,135.6075,3777
2008-01-07,133.0151,133.0151,133.0151,133.0151,2516
2008-01-08,137.0803,137.0803,137.0803,137.0803,7665
2008-01-11,138.6685,138.6685,138.6685,138.6685,1986
2008-01-14,135.0484,135.0484,135.0484,135.0484,13387
2008-01-16,127.5254,127.5254,127.5061,127.5061,3919
2008-01-17,128.1783,128.1783,128.1783,128.1783,27961
2008-01-21,120.9811,120.9811,120.9811,120.9811,6693
2008-01-22,126.7000,126.7000,126.7000,126.7000,106
2008-01-24,128.9000,129.2020,128.9000,128.9000,161
2008-01-28,131.5000,132.3275,131.5000,131.5000,22418
2008-01-29,135.5020,135.5020,135.5020,135.5020,1511
2008-01-30,137.4000,137.4000,137.4000,137.4000,64
2008-01-31,138.5000,138.8500,134.9000,134.9000,112917
2008-02-01,136.9000,136.9000,136.9000,136.9000,307
2008-02-05,135.7000,135.7000,134.5000,134.5000,344
2008-02-06,137.7799,137.7799,137.7799,137.7799,4653
2008-02-08,137.3500,137.3500,137.3500,137.3500,5595
2008-02-11,138.0000,138.0000,137.6200,137.6200,7650
2008-02-12,139.9000,139.9000,139.9000,139.9000,1198
2008-02-13,144.3500,144.6000,144.3500,144.3500,881
2008-02-14,145.6000,145.6000,145.6000,145.6000,275
2008-02-15,139.8000,139.8000,139.8000,139.8000,108
2008-02-18,139.6841,139.6841,139.6841,139.6841,1033
2008-02-19,142.0796,142.0796,142.0796,142.0796,1026
2008-02-21,142.9651,142.9651,141.7000,141.7000,2003
2008-02-25,142.7000,142.7000,142.7000,142.7000,6306
2008-02-27,143.3824,143.7000,143.3824,143.3824,10801
2008-02-28,142.0633,143.6000,142.0633,142.0633,13340
2008-02-29,140.7614,140.9000,140.7614,140.7614,1786
2008-03-03,136.8000,136.8000,136.8000,136.8000,11
2008-03-04,138.5000,138.5000,138.5000,138.5000,11
2008-03-05,142.1000,142.1000,142.1000,142.1000,231
2008-03-06,143.5000,143.5000,143.5000,143.5000,100
2008-03-07,139.9000,139.9000,139.7000,139.7000,45
2008-03-10,136.2000,136.7132,135.9000,135.9000,2676
2008-03-11,135.9000,136.5000,135.6155,135.6155,4219
2008-03-12,139.1000,139.1000,138.1000,138.1000,398
2008-03-13,132.4845,132.4845,132.4845,132.4845,3648
2008-03-14,135.8000,135.8000,135.8000,135.8000,158
2008-03-17,132.6609,132.6609,130.4000,130.4000,1569
2008-03-18,131.8000,133.1402,131.8000,131.8000,3950
2008-03-20,127.7000,131.3000,127.7000,127.7000,81939
2008-03-25,131.0000,131.0000,131.0000,131.0000,285
2008-03-26,133.9500,133.9500,125.0000,125.0000,52493
2008-03-27,125.8428,125.8428,125.8428,125.8428,2416
2008-03-28,131.1000,131.1000,131.1000,131.1000,111
2008-03-31,128.0000,131.5035,128.0000,128.0000,6607
2008-04-01,133.7500,133.7500,132.2500,132.2500,282
2008-04-02,133.2500,133.2500,133.0000,133.0000,276
2008-04-04,131.4500,131.4500,131.1000,131.1000,161
2008-04-07,133.4400,133.4400,132.8664,132.8664,496
2008-04-10,132.0000,132.0000,132.0000,132.0000,149
2008-04-11,129.8500,129.8500,129.2000,129.2000,585
2008-04-16,129.2500,130.4402,129.2500,129.2500,1372
2008-04-17,130.5000,130.5000,130.5000,130.5000,1
2008-04-21,130.5000,130.5000,130.5000,130.5000,1546
2008-04-22,130.4000,130.4000,130.4000,130.4000,9
2008-04-23,136.5000,137.5000,136.5000,136.5000,195
2008-04-24,137.5000,137.7501,137.4000,137.4000,11706
2008-04-25,140.2000,140.6750,140.2000,140.2000,463
2008-04-28,142.4000,142.4000,142.4000,142.4000,8
2008-05-02,137.2000,140.9000,137.2000,137.2000,4812
2008-05-06,137.3500,137.3500,137.3500,137.3500,48
2008-05-07,136.8875,137.1000,136.8875,136.8875,132
2008-05-08,137.0500,137.6000,137.0500,137.0500,261
2008-05-09,137.8862,137.8862,137.2378,137.2378,110808
