date,open,high,low,close,volume
2014-04-15,234.0000,234.0000,234.0000,234.0000,65
2014-04-25,238.2000,238.2000,238.2000,238.2000,7
2014-05-20,228.0000,228.0000,228.0000,228.0000,70
2014-06-26,247.0000,247.0000,247.0000,247.0000,1
2014-06-30,243.0000,243.0000,242.4000,242.4000,254
2014-07-08,249.5240,249.5240,249.5240,249.5240,61
2014-07-22,237.5290,237.5290,237.5290,237.5290,1580
2014-07-25,231.5000,231.5000,231.5000,231.5000,33
2014-07-28,230.0000,230.0000,230.0000,230.0000,10
2014-08-04,221.2690,221.2690,221.2690,221.2690,192
2014-08-08,219.8750,219.8750,219.8750,219.8750,44
2014-08-19,230.0000,230.0000,230.0000,230.0000,20
2014-08-27,237.2500,237.2500,237.2500,237.2500,33
2014-09-05,239.5000,239.5000,239.5000,239.5000,8
2014-09-16,253.7500,253.7500,253.7500,253.7500,15
2014-10-14,234.6500,234.6500,234.6500,234.6500,131
2014-11-11,259.7500,259.7500,259.7500,259.7500,44
2015-03-10,290.9297,290.9297,290.9297,290.9297,79
2015-03-17,297.2500,297.2500,297.2500,297.2500,602
2015-03-23,305.0000,305.0000,305.0000,305.0000,100
2015-04-13,299.7500,299.7500,299.7500,299.7500,42
2015-04-29,302.7500,302.7500,302.7500,302.7500,7
2015-05-11,298.2500,298.2500,298.2500,298.2500,40
2015-05-18,289.5000,289.5000,289.5000,289.5000,20000
2015-06-11,294.7500,294.7500,294.7500,294.7500,2
2015-07-03,281.5000,281.5000,281.5000,281.5000,26
2015-07-17,315.7500,315.7500,315.7500,315.7500,2501
2015-08-11,327.9926,327.9926,327.9926,327.9926,104
2015-08-12,325.5439,325.5439,325.5439,325.5439,135
2015-08-20,310.8430,310.8430,310.8430,310.8430,3163
2015-10-07,335.7500,340.7500,335.7500,340.7500,2042
2015-10-22,334.2500,334.2500,334.2500,334.2500,1045
2015-10-26,352.7500,352.7500,352.7500,352.7500,6
2015-11-03,361.2500,361.2500,361.2500,361.2500,12
2015-12-03,374.7500,374.7500,374.7500,374.7500,20
2016-01-07,345.5000,345.5000,345.5000,345.5000,7
2016-01-12,340.0000,340.0000,340.0000,340.0000,26
2016-01-19,362.0000,362.0000,362.0000,362.0000,6
2016-01-20,357.7500,357.7500,357.7500,357.7500,3
2016-02-02,367.7500,367.7500,367.7500,367.7500,10
2016-02-09,333.5000,333.5000,333.5000,333.5000,20
2016-03-23,394.7500,394.7500,394.7500,394.7500,7
2016-03-31,388.2500,388.2500,388.2500,388.2500,10
2016-04-05,386.3443,386.3443,386.3443,386.3443,151
2016-05-06,392.5000,392.5000,392.5000,392.5000,5
2016-05-20,404.2550,404.2550,404.2550,404.2550,25000
2016-06-09,413.0000,413.0000,413.0000,413.0000,5
2016-06-13,407.2500,407.2500,407.2500,407.2500,2
2016-06-14,407.0000,407.0000,407.0000,407.0000,2
2016-06-28,401.2500,401.2500,401.2500,401.2500,10
2016-07-06,409.7500,409.7500,409.7500,409.7500,9
2016-07-14,444.7500,444.7500,444.7500,444.7500,6
2016-07-22,440.7500,440.7500,440.7500,440.7500,10
2016-07-28,443.5386,443.5386,443.5386,443.5386,386
