Stock,MAE,RMSE,R2,Adj_R2,N_Predictions
ABB,0.001091712252321964,0.0015727071044337568,0.9479971554869485,0.9469639863906627,309
Alcon,0.0016437947635027969,0.002570518211574315,0.941881181259203,0.9406828550995989,298
Amrize,0.002204888175546004,0.003038999607762687,0.6418315893443818,0.46274738401657267,19
Geberit,0.0008973034612643684,0.0012867900588548772,0.952369791289071,0.9514234957517678,309
Givaudan,0.0010172331385663153,0.0014648495418369142,0.9423805474781078,0.9412357901432358,309
Holcim,0.006717523366873271,0.030916949297469545,0.7401800053790772,0.7350180187309794,309
Kuehne,0.0014174305777747498,0.002270406000107255,0.9456443852838382,0.9445644724086827,309
Logitech,0.0015710144970867577,0.0023793279373341193,0.9649694016280891,0.9642734294750047,309
Lonza,0.007879039784906268,0.042908923392635766,0.5808850026796826,0.572558214653451,309
Nestle,0.0010298163286440432,0.0014747136409651506,0.9610326871286645,0.9602585021047307,309
Novartis,0.0009436647695307498,0.0013882323237416048,0.9598582377428624,0.9590607192874225,309
Partners,0.009486346733346878,0.048914661424277146,0.5103231522626015,0.500594473168481,309
Roche,0.0010688882194582186,0.0015590188794110853,0.957335980054227,0.9564883505188806,309
Sika,0.0010076586244114616,0.0015325002219216018,0.9377090222478286,0.9364714531534146,309
Swiss,0.0009301463914099899,0.0018090014010891462,0.9311425496487065,0.9297745208337801,309
Swisscom,0.0007560044263316529,0.0011585151179322258,0.9558961481874074,0.9550199127209321,309
UBS,0.0013388169479078727,0.0019748436840103262,0.9458156609773675,0.9447391509305602,309
Zurich,0.001044802057114563,0.0028207488037207988,0.8762975078564054,0.873839842449579,309
AGGREGATE,0.002335893584222107,0.008391205924948795,0.8718638892185815,0.859761920657652,5261
