K,Has_VIX,MAE,RMSE,R2,N_Stocks
1,False,0.0023759375245003354,0.008233909971923813,0.8763482605174564,17
2,True,0.002793784874595018,0.00926041839711079,0.8432221557652594,17
3,True,0.0027330009429500676,0.009025069607022873,0.849162334152978,17
4,True,0.0027267725884230877,0.008901176367213546,0.8525064165654526,17
5,True,0.0023731039160702436,0.008413666200733748,0.8784124048216253,17
6,True,0.0023319173090758614,0.00845049205995475,0.8807620804113744,17
7,True,0.002295493810004767,0.008421680997288017,0.8825340209722414,17
8,True,0.0022793302217504804,0.00846387799586141,0.8819568597163032,17
9,True,0.002309420643606306,0.00855293421333273,0.8792984576718713,17
10,True,0.0023435565614277052,0.008704284101415128,0.8773143755322521,17
11,True,0.0022789781757237676,0.00845353059579651,0.8811694394292454,17
12,True,0.002297174864524798,0.008593547431273224,0.8777113145335655,17
13,True,0.002323536077951145,0.008678051575842529,0.8737254020801337,17
14,True,0.0023672154987827497,0.008783876213204615,0.8697290888100292,17
15,True,0.002408205385228148,0.008876522874220192,0.8665893520471455,17
16,True,0.0024448715853928435,0.008972841657412443,0.8638084333489722,17
17,True,0.002460000336939172,0.009006007886494534,0.862902113288633,17
18,True,0.002461652065442873,0.00902455120359106,0.8621903051455874,17
19,True,0.002480915183818671,0.009090140821604375,0.8602496228101039,17
