K,Has_VIX,Features,MAE,RMSE,R2,N_Stocks
1,False,ewma_vol_lag_1,0.0014654239599870486,0.0039024693761609635,0.9410668065905569,17
2,True,"ewma_vol_lag_1, vix_lag_1",0.001298568391847479,0.0036563898146029536,0.9432380905539665,17
3,True,"ewma_vol_lag_1, vix_lag_1, ewma_vol_lag_2",0.0014047443230747357,0.0038609937896427293,0.9390534386580047,17
4,True,"ewma_vol_lag_1, vix_lag_1, ewma_vol_lag_2...",0.0014123794306035533,0.0038448294804742378,0.9335252330478121,17
5,True,"ewma_vol_lag_1, vix_lag_1, ewma_vol_lag_2...",0.001635263758738854,0.00429376538215765,0.9305130270608587,17
6,True,"ewma_vol_lag_1, vix_lag_1, ewma_vol_lag_2...",0.001750374237947977,0.004556565018533923,0.9273827031576983,17
7,True,"ewma_vol_lag_1, vix_lag_1, ewma_vol_lag_2...",0.001721581299081083,0.004552835761975334,0.9286256125950497,17
8,True,"ewma_vol_lag_1, vix_lag_1, ewma_vol_lag_2...",0.0017549864954590393,0.004572251292630923,0.9265223207310819,17
9,True,"ewma_vol_lag_1, vix_lag_1, ewma_vol_lag_2...",0.00175523710879525,0.004546399488080315,0.9273573588172473,17
10,True,"ewma_vol_lag_1, vix_lag_1, ewma_vol_lag_2...",0.0017468369269585515,0.004562949596600007,0.9268867960063564,17
11,True,"ewma_vol_lag_1, vix_lag_1, ewma_vol_lag_2...",0.0016994481883651528,0.004510729749725951,0.9293315776923514,17
12,True,"ewma_vol_lag_1, vix_lag_1, ewma_vol_lag_2...",0.0017016399884768139,0.004494293248057578,0.92953474610922,17
13,True,"ewma_vol_lag_1, vix_lag_1, ewma_vol_lag_2...",0.001701341238687425,0.004497613820981537,0.9290639841480323,17
14,True,"ewma_vol_lag_1, vix_lag_1, ewma_vol_lag_2...",0.0017102878038703475,0.004538012639022971,0.9277098734391624,17
15,True,"ewma_vol_lag_1, vix_lag_1, ewma_vol_lag_2...",0.0017182012246826934,0.0045860397525620406,0.9262077815166849,17
16,True,"ewma_vol_lag_1, vix_lag_1, ewma_vol_lag_2...",0.001712395371407669,0.004612664984222723,0.9251749334211743,17
17,True,"ewma_vol_lag_1, vix_lag_1, ewma_vol_lag_2...",0.0017240757944277894,0.004647391990128348,0.9253259698638674,17
18,True,"ewma_vol_lag_1, vix_lag_1, ewma_vol_lag_2...",0.0016979379629347168,0.0046016125114896386,0.9274816935599747,17
19,True,"ewma_vol_lag_1, vix_lag_1, ewma_vol_lag_2...",0.001684431381067437,0.004593522969007326,0.9284914190175467,17
