Stock,MAE,RMSE,R2,Adj_R2,N_Predictions
ABB,0.0005923009529968997,0.0009288798594700191,0.9379082799730445,0.9366746696413831,309
Alcon,0.0013326125413869632,0.001941036221441914,0.9052584249237111,0.9032914718079404,296
Amrize,0.0003888801262183688,0.000527159920822066,0.5926676238104993,0.38900143571574897,19
Geberit,0.00040448025565787923,0.0005279856210172203,0.9705236228036334,0.9699379994156261,309
Givaudan,0.0002983270525977374,0.0004076140594257691,0.9712027344751607,0.9706306033720182,309
Holcim,0.006404085992698659,0.01675965165454327,0.8750614269991652,0.8725792036945128,309
Kuehne,0.000639318131217203,0.0010282062686067367,0.9722212012287084,0.9716693045643781,309
Logitech,0.0006821123996124933,0.0011314292514969272,0.9845918377498588,0.984285715321048,309
Lonza,0.007720058478072569,0.026402211224948322,0.6970206382411881,0.6910011807228011,309
Nestle,0.0004140681390519524,0.0007076648693514609,0.9606875475333606,0.9599065054313743,309
Novartis,0.0004891984577388357,0.0008169000887443387,0.9612213853880494,0.9604509493361563,309
Partners,0.007130680309219996,0.021986977773031578,0.8232502276100389,0.819738642728119,309
Roche,0.00033088901937778324,0.00045335973718387473,0.9799655678892651,0.9795675328142174,309
Sika,0.00047374863672877704,0.0006134294169145083,0.9673662648334089,0.9667179124791058,309
Swiss,0.0006027629825652296,0.0009455831822156259,0.9538488979709712,0.9529319886591362,309
Swisscom,0.00031674974069868534,0.0005079438685443862,0.9744616899002031,0.9739543062558362,309
UBS,0.0007299630767140818,0.0011131597111236442,0.9506022976642383,0.9496208863595543,309
Zurich,0.0007027026888338665,0.0013952567982837537,0.9393760971225487,0.9381716487210099,309
AGGREGATE,0.001647385498965999,0.004344136084842524,0.9120686536731696,0.8994517753911092,5259
