Stock,MAE,RMSE,R2,Adj_R2,N_Predictions
ABB,0.0005489990643687708,0.0008352076455914615,0.9498000227417789,0.9494719183152546,309
Alcon,0.001401666057984174,0.0020603541314003354,0.8932526587926265,0.8925240079994021,296
Geberit,0.0003849115039393498,0.0006381166408660333,0.9569443593715479,0.9566629499556756,309
Givaudan,0.0003445154761899065,0.0005356098804905395,0.950277827020865,0.9499528454981256,309
Holcim,0.004190292487592445,0.013483858698337021,0.9191286018567523,0.9186000306270579,309
Kuehne,0.0006766544879040239,0.001168373954417064,0.9641312120733048,0.963896775550908,309
Logitech,0.0007772441379410829,0.0014791073149471802,0.9736672990220419,0.9734951898653231,309
Lonza,0.005840838427898457,0.020729875244171435,0.8132219569268486,0.8120011854034948,309
Nestle,0.0004911614232388928,0.000871163438912068,0.9404236151858942,0.9400342270498543,309
Novartis,0.00043661242425017916,0.0006708585216363448,0.9738473148897789,0.9736763823073592,309
Partners,0.004078159050453442,0.01485431321985022,0.9193261203361471,0.9187988400769063,309
Roche,0.00044147369978552695,0.0006492621899332683,0.9589104518571914,0.958641892719003,309
Sika,0.00037768314495099903,0.0005466123097031875,0.9740882704000705,0.9739189126902671,309
Swiss,0.0004818753913748761,0.0007953980745208963,0.9673448511509211,0.9671314188055022,309
Swisscom,0.0002917301767937212,0.0005133805217660236,0.9739120781014922,0.9737415688080379,309
UBS,0.0006693305844780034,0.001028652575486564,0.9578178000918024,0.9575420994388076,309
Zurich,0.000680046228418269,0.0013743657473660389,0.9411779381483575,0.9407934802277585,309
AGGREGATE,0.0013007761039742424,0.003660853535846805,0.9427807281157307,0.9424049250199256,5240
